Date,TotalBuy,TotalSell
05/01/2023 00:00:00,1827418,1829418
04/01/2023 00:00:00,165692,149406
03/01/2023 00:00:00,0,5242
01/01/2023 00:00:00,5968,0
12/01/2022 00:00:00,13446556,13726556
11/01/2022 00:00:00,10000,48463
10/01/2022 00:00:00,5696,0
09/01/2022 00:00:00,834904,834904
08/01/2022 00:00:00,675704,675704
07/01/2022 00:00:00,6216,0
06/01/2022 00:00:00,1884,0
05/01/2022 00:00:00,27059,0
04/01/2022 00:00:00,134481,28916
03/01/2022 00:00:00,36617,1508
01/01/2022 00:00:00,4160,0
12/01/2021 00:00:00,1661340,3097541
10/01/2021 00:00:00,2820,0
09/01/2021 00:00:00,1504776,10505806
07/01/2021 00:00:00,3630,0
05/01/2021 00:00:00,33218,0
04/01/2021 00:00:00,153093,28904
01/01/2021 00:00:00,3130,0
12/01/2020 00:00:00,0,4406668
11/01/2020 00:00:00,7715244,0
10/01/2020 00:00:00,2335,0
09/01/2020 00:00:00,0,237874
07/01/2020 00:00:00,3765,0
06/01/2020 00:00:00,81524,12776096
04/01/2020 00:00:00,103670,24918
01/01/2020 00:00:00,2298,0
12/01/2019 00:00:00,141760,0
10/01/2019 00:00:00,73262721,13200000
