Date,TotalBuy,TotalSell
04/01/2023 00:00:00,6796.8874,12000
03/01/2023 00:00:00,65101.37,4575.29
02/01/2023 00:00:00,1362021.9300000002,97043.57999999999
01/01/2023 00:00:00,45859.284200000024,119852.5
11/01/2022 00:00:00,0,11617.99
10/01/2022 00:00:00,20372.225500000004,19404.64
07/01/2022 00:00:00,5245.5936,0
04/01/2022 00:00:00,4890.084,0
03/01/2022 00:00:00,0,5252.06
02/01/2022 00:00:00,806282.3788000001,103177.97999999998
01/01/2022 00:00:00,6237.912799999999,100034.48
11/01/2021 00:00:00,0,12054.99
10/01/2021 00:00:00,5513.362499999999,42599.561
07/01/2021 00:00:00,4999.729599999999,0
06/01/2021 00:00:00,8000,8000
05/01/2021 00:00:00,0,55031
04/01/2021 00:00:00,5342.0589,0
02/01/2021 00:00:00,672614.504,52548.03
01/01/2021 00:00:00,121537.01069999996,139983.81
12/01/2020 00:00:00,9370.09,0
11/01/2020 00:00:00,500,10288.99
10/01/2020 00:00:00,17463.7969,485
07/01/2020 00:00:00,6857.0504,0
04/01/2020 00:00:00,5950.4773000000005,0
02/01/2020 00:00:00,485369.14560000005,36393.1
01/01/2020 00:00:00,247508.39400000006,149848.32680000004
11/01/2019 00:00:00,84027.96,1781
10/01/2019 00:00:00,6688.6675000000005,0
08/01/2019 00:00:00,0,7500
07/01/2019 00:00:00,6822.3705,0
04/01/2019 00:00:00,4944.438200000001,30000
02/01/2019 00:00:00,635130.3480000001,101495.15
01/01/2019 00:00:00,536468.1875999997,220494.13
12/01/2018 00:00:00,0,3855
10/01/2018 00:00:00,6517.100799999998,0
08/01/2018 00:00:00,0,15000
07/01/2018 00:00:00,4669.6630000000005,500
05/01/2018 00:00:00,12966,25932
04/01/2018 00:00:00,4035.7993999999985,0
03/01/2018 00:00:00,340,0
02/01/2018 00:00:00,527581.2997999999,103262.20999999999
01/01/2018 00:00:00,353232.11329999985,220039.83
10/01/2017 00:00:00,4384.943700000001,0
08/01/2017 00:00:00,0,45275
07/01/2017 00:00:00,5018.487400000001,0
06/01/2017 00:00:00,0,10529.8
04/01/2017 00:00:00,1062.5187999999998,250
