Date,TotalBuy,TotalSell
05/01/2023 00:00:00,142704,14960
04/01/2023 00:00:00,0,2500
02/01/2023 00:00:00,420638,5000
01/01/2023 00:00:00,221852,211000
12/01/2022 00:00:00,9073,9073
11/01/2022 00:00:00,225000,12000
10/01/2022 00:00:00,303000,161176
08/01/2022 00:00:00,9929,75000
07/01/2022 00:00:00,0,6000
05/01/2022 00:00:00,59760,62477
02/01/2022 00:00:00,673408,10000
01/01/2022 00:00:00,25000,50000
12/01/2021 00:00:00,25000,50000
11/01/2021 00:00:00,245023,85929
10/01/2021 00:00:00,70829,225829
09/01/2021 00:00:00,26000,52000
08/01/2021 00:00:00,674,135675
07/01/2021 00:00:00,294081,589414
06/01/2021 00:00:00,8419,16838
05/01/2021 00:00:00,81657,275000
04/01/2021 00:00:00,300000,0
02/01/2021 00:00:00,22290,97500
01/01/2021 00:00:00,100000,100000
12/01/2020 00:00:00,7500,27500
11/01/2020 00:00:00,470000,0
10/01/2020 00:00:00,15000,122303
09/01/2020 00:00:00,0,20000
08/01/2020 00:00:00,71231,0
06/01/2020 00:00:00,5000,5000
05/01/2020 00:00:00,946293,9160
02/01/2020 00:00:00,187500,800000
12/01/2019 00:00:00,0,25000
11/01/2019 00:00:00,804000,10000
10/01/2019 00:00:00,25000,10000
08/01/2019 00:00:00,100477,20000
07/01/2019 00:00:00,24180,0
05/01/2019 00:00:00,353570,22159
02/01/2019 00:00:00,434500,0
12/01/2018 00:00:00,0,15000
11/01/2018 00:00:00,21460,19000
10/01/2018 00:00:00,0,9160
08/01/2018 00:00:00,66000,0
05/01/2018 00:00:00,289810,15000
03/01/2018 00:00:00,27586,0
02/01/2018 00:00:00,29156,3312
11/01/2017 00:00:00,98720,5312
10/01/2017 00:00:00,300000,0
09/01/2017 00:00:00,26936,0
08/01/2017 00:00:00,35682,3312
07/01/2017 00:00:00,24330,0
05/01/2017 00:00:00,116175,13664
