Date,TotalBuy,TotalSell
06/01/2023 00:00:00,260000,594419
05/01/2023 00:00:00,647390,370603
04/01/2023 00:00:00,46606.4346,0
03/01/2023 00:00:00,6469,29682
02/01/2023 00:00:00,2101786,1139753
01/01/2023 00:00:00,44047.9315,52958
12/01/2022 00:00:00,19943,28871
11/01/2022 00:00:00,192655,424785
09/01/2022 00:00:00,10451,14564
06/01/2022 00:00:00,173828,246216
04/01/2022 00:00:00,43822.674300000006,0
02/01/2022 00:00:00,1286930,355404
12/01/2021 00:00:00,27069,42744
11/01/2021 00:00:00,37121,84236
10/01/2021 00:00:00,32959,45929
09/01/2021 00:00:00,158600,0
08/01/2021 00:00:00,77001,250585
06/01/2021 00:00:00,110657.8456,154296
05/01/2021 00:00:00,39779,55433
04/01/2021 00:00:00,87678.1116,62690
03/01/2021 00:00:00,0,27486
02/01/2021 00:00:00,1092628,10411
01/01/2021 00:00:00,313128,427950
12/01/2020 00:00:00,243412,14634
10/01/2020 00:00:00,346600,300647
06/01/2020 00:00:00,45830,0
05/01/2020 00:00:00,2225540.4496,7.4647
03/01/2020 00:00:00,0,866158910
