Date,TotalBuy,TotalSell
06/01/2023 00:00:00,109987,62183
05/01/2023 00:00:00,7264,0
03/01/2023 00:00:00,101,132
01/01/2023 00:00:00,3900,5268
10/01/2022 00:00:00,3163,4262
09/01/2022 00:00:00,454,0
08/01/2022 00:00:00,12018,5286
06/01/2022 00:00:00,69193,48587
03/01/2022 00:00:00,305,0
01/01/2022 00:00:00,5333,4252
10/01/2021 00:00:00,0,1666
09/01/2021 00:00:00,10515,5340
07/01/2021 00:00:00,100,5726
06/01/2021 00:00:00,41232,32882
01/01/2021 00:00:00,11188,11093
12/01/2020 00:00:00,0,4946
09/01/2020 00:00:00,10744,5504
08/01/2020 00:00:00,0,700
06/01/2020 00:00:00,63214,23577
03/01/2020 00:00:00,10000,20000
01/01/2020 00:00:00,4814,0
10/01/2019 00:00:00,3536,1525
09/01/2019 00:00:00,13488,9438
07/01/2019 00:00:00,4000,8000
06/01/2019 00:00:00,82205,95814
05/01/2019 00:00:00,2000,2607
03/01/2019 00:00:00,20500,42378
01/01/2019 00:00:00,4300,8680
12/01/2018 00:00:00,10000,22533
09/01/2018 00:00:00,11634,8491
07/01/2018 00:00:00,1238,0
06/01/2018 00:00:00,28943,26655
05/01/2018 00:00:00,2000,2607
04/01/2018 00:00:00,1000,2000
03/01/2018 00:00:00,9792,2784
12/01/2017 00:00:00,6210,7032
10/01/2017 00:00:00,0,1234
09/01/2017 00:00:00,9344,2500
07/01/2017 00:00:00,10228,100
06/01/2017 00:00:00,20250,29288
05/01/2017 00:00:00,2000,2667
03/01/2017 00:00:00,4200,8630
12/01/2016 00:00:00,0,5086
09/01/2016 00:00:00,340,0
