Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,5000
05/01/2023 00:00:00,22669,22903
04/01/2023 00:00:00,18485,36970
03/01/2023 00:00:00,91745,91745
02/01/2023 00:00:00,435189,400003
12/01/2022 00:00:00,28044,48355
11/01/2022 00:00:00,108234,159949
10/01/2022 00:00:00,15000,50000
08/01/2022 00:00:00,180000,330722
05/01/2022 00:00:00,131712,130907
03/01/2022 00:00:00,149760,270972
02/01/2022 00:00:00,483098,217307
12/01/2021 00:00:00,356837,356837
10/01/2021 00:00:00,0,2100
09/01/2021 00:00:00,90000,149177
08/01/2021 00:00:00,60000,20000
07/01/2021 00:00:00,0,2100
05/01/2021 00:00:00,90767,192814
04/01/2021 00:00:00,10244,24688
03/01/2021 00:00:00,194376,354464
02/01/2021 00:00:00,248128,311824
12/01/2020 00:00:00,110000,222741
11/01/2020 00:00:00,65000,110700
10/01/2020 00:00:00,0,700
09/01/2020 00:00:00,0,6700
08/01/2020 00:00:00,120000,43200
07/01/2020 00:00:00,36000,72700
06/01/2020 00:00:00,10000,20000
05/01/2020 00:00:00,66072,59316
04/01/2020 00:00:00,0,1600
03/01/2020 00:00:00,0,75600
02/01/2020 00:00:00,112251,58792
01/01/2020 00:00:00,0,1600
12/01/2019 00:00:00,996976,1337136
11/01/2019 00:00:00,155746,313092
10/01/2019 00:00:00,0,1600
09/01/2019 00:00:00,0,70000
08/01/2019 00:00:00,91071,116071
06/01/2019 00:00:00,30000,77684
05/01/2019 00:00:00,54963,0
03/01/2019 00:00:00,129269,30996
02/01/2019 00:00:00,35000,70000
01/01/2019 00:00:00,0,70000
12/01/2018 00:00:00,0,10525
09/01/2018 00:00:00,110000,227716
08/01/2018 00:00:00,47000,114000
06/01/2018 00:00:00,55000,110000
05/01/2018 00:00:00,583000,65838
04/01/2018 00:00:00,0,4998
03/01/2018 00:00:00,25000,50000
02/01/2018 00:00:00,165675,224592
12/01/2017 00:00:00,250053,453161
09/01/2017 00:00:00,0,32500
08/01/2017 00:00:00,25000,50000
06/01/2017 00:00:00,50000,100000
05/01/2017 00:00:00,765464,440020
03/01/2017 00:00:00,12173,49402
