Date,TotalBuy,TotalSell
04/01/2023 00:00:00,440557,0
02/01/2023 00:00:00,693911,169193
01/01/2023 00:00:00,0,17517
11/01/2022 00:00:00,7146,0
07/01/2022 00:00:00,0,20292
05/01/2022 00:00:00,100000,0
04/01/2022 00:00:00,95410,0
02/01/2022 00:00:00,26411,4479
01/01/2022 00:00:00,0,121181
07/01/2021 00:00:00,0,28624
04/01/2021 00:00:00,68040,638762
02/01/2021 00:00:00,24025,70600
01/01/2021 00:00:00,521567,151834.363
11/01/2020 00:00:00,0,10000000
10/01/2020 00:00:00,10000,0
08/01/2020 00:00:00,276650,0
06/01/2020 00:00:00,14509,0
04/01/2020 00:00:00,1457242,0
02/01/2020 00:00:00,110398,46076
01/01/2020 00:00:00,35605,42804
12/01/2019 00:00:00,0,18020
10/01/2019 00:00:00,0,5000
07/01/2019 00:00:00,20000,0
06/01/2019 00:00:00,22050,0
04/01/2019 00:00:00,31930,0
02/01/2019 00:00:00,144506,91382
01/01/2019 00:00:00,86654,32164
12/01/2018 00:00:00,21595,32439
11/01/2018 00:00:00,0,11401
10/01/2018 00:00:00,0,7000
06/01/2018 00:00:00,0,5000
05/01/2018 00:00:00,0,5000
04/01/2018 00:00:00,24741,12000
03/01/2018 00:00:00,0,8000
02/01/2018 00:00:00,94254,50496
01/01/2018 00:00:00,58534,85630
12/01/2017 00:00:00,0,149792
11/01/2017 00:00:00,0,5000
10/01/2017 00:00:00,0,90903
07/01/2017 00:00:00,0,30000
04/01/2017 00:00:00,21672,25965
02/01/2017 00:00:00,174213,130399
01/01/2017 00:00:00,77069,95804
12/01/2016 00:00:00,394318,197157
10/01/2016 00:00:00,432518,95842.801
04/01/2016 00:00:00,31714,20000
02/01/2016 00:00:00,22021,57489
