Date,TotalBuy,TotalSell
06/01/2023 00:00:00,25415,81445
05/01/2023 00:00:00,10644,3173
03/01/2023 00:00:00,15774,22315
02/01/2023 00:00:00,276165,315487
01/01/2023 00:00:00,0,25000
12/01/2022 00:00:00,241,3558
09/01/2022 00:00:00,301,0
06/01/2022 00:00:00,25198,35851
05/01/2022 00:00:00,11384,0
03/01/2022 00:00:00,45572,65217
02/01/2022 00:00:00,331053,140961
12/01/2021 00:00:00,254,60000
11/01/2021 00:00:00,0,425000
09/01/2021 00:00:00,313,0
08/01/2021 00:00:00,0,200000
06/01/2021 00:00:00,24990,35494
05/01/2021 00:00:00,7148,53310
04/01/2021 00:00:00,23881,34365
03/01/2021 00:00:00,75180,43009
02/01/2021 00:00:00,479023,616975
01/01/2021 00:00:00,1008,0
08/01/2020 00:00:00,0,203171
07/01/2020 00:00:00,0,200000
06/01/2020 00:00:00,73998,35000
05/01/2020 00:00:00,18273,100000
04/01/2020 00:00:00,23878,34380
03/01/2020 00:00:00,41822,60219
02/01/2020 00:00:00,523631,425431
08/01/2019 00:00:00,0,83747
06/01/2019 00:00:00,0,100000
05/01/2019 00:00:00,14280,0
04/01/2019 00:00:00,23881,34386
03/01/2019 00:00:00,101594,17179
02/01/2019 00:00:00,592931,392552
06/01/2018 00:00:00,0,32207
05/01/2018 00:00:00,11781,0
04/01/2018 00:00:00,71640,0
03/01/2018 00:00:00,11934,17185
02/01/2018 00:00:00,437934,378820
12/01/2017 00:00:00,0,13133
11/01/2017 00:00:00,0,612879
10/01/2017 00:00:00,21194,31084
09/01/2017 00:00:00,0,15000
07/01/2017 00:00:00,0,694
05/01/2017 00:00:00,11559,435259
03/01/2017 00:00:00,35799,0
02/01/2017 00:00:00,0,107096
