Date,TotalBuy,TotalSell
05/01/2023 00:00:00,740,740
04/01/2023 00:00:00,11666,15090
03/01/2023 00:00:00,4375,9350
02/01/2023 00:00:00,666811,58507
12/01/2022 00:00:00,128800,257600
11/01/2022 00:00:00,226109,256109
08/01/2022 00:00:00,39894,0
06/01/2022 00:00:00,608,608
05/01/2022 00:00:00,6697,0
04/01/2022 00:00:00,11667,16842
03/01/2022 00:00:00,0,608
02/01/2022 00:00:00,439197,11747
11/01/2021 00:00:00,544,3000
09/01/2021 00:00:00,30000,60000
08/01/2021 00:00:00,17500,35000
06/01/2021 00:00:00,10000,20000
04/01/2021 00:00:00,0,16842
03/01/2021 00:00:00,23900,28900
02/01/2021 00:00:00,343945,299600
12/01/2020 00:00:00,77400,164800
11/01/2020 00:00:00,514838,1029676
10/01/2020 00:00:00,250362,724
09/01/2020 00:00:00,110000,232700
08/01/2020 00:00:00,426500,858500
07/01/2020 00:00:00,100000,200000
06/01/2020 00:00:00,15000,30000
05/01/2020 00:00:00,30000,77000
04/01/2020 00:00:00,116667,0
02/01/2020 00:00:00,479250,2064000
12/01/2019 00:00:00,340000,680000
11/01/2019 00:00:00,399500,799000
10/01/2019 00:00:00,64000,128000
08/01/2019 00:00:00,0,900
05/01/2019 00:00:00,51000,100000
02/01/2019 00:00:00,535000,80000
09/01/2018 00:00:00,5000,30000
08/01/2018 00:00:00,5000,20000
05/01/2018 00:00:00,56500,26500
03/01/2018 00:00:00,0,10000
02/01/2018 00:00:00,266500,57000
11/01/2017 00:00:00,193750,288445
09/01/2017 00:00:00,12000,24000
08/01/2017 00:00:00,114750,229500
06/01/2017 00:00:00,7500,15000
05/01/2017 00:00:00,100000,200000
03/01/2017 00:00:00,50000,100000
02/01/2017 00:00:00,0,5000
