Date,TotalBuy,TotalSell
06/01/2023 00:00:00,142584,0
05/01/2023 00:00:00,23670,49449
03/01/2023 00:00:00,5054,0
02/01/2023 00:00:00,223709,9398
01/01/2023 00:00:00,65532,0
12/01/2022 00:00:00,5561,0
11/01/2022 00:00:00,6276,10552
09/01/2022 00:00:00,5195,9708
08/01/2022 00:00:00,63049,125837
06/01/2022 00:00:00,26757,50286
05/01/2022 00:00:00,95924,199029
03/01/2022 00:00:00,4534,0
02/01/2022 00:00:00,354951,10380
01/01/2022 00:00:00,24500,49000
12/01/2021 00:00:00,23510,48997
11/01/2021 00:00:00,21907,48840
10/01/2021 00:00:00,0,2000
09/01/2021 00:00:00,41595,3598
08/01/2021 00:00:00,0,2693
07/01/2021 00:00:00,18802.238,18747
06/01/2021 00:00:00,19664,32826
05/01/2021 00:00:00,21790,51430
04/01/2021 00:00:00,53.016,0
03/01/2021 00:00:00,4208,0
02/01/2021 00:00:00,106140,15829
01/01/2021 00:00:00,55.13,0
12/01/2020 00:00:00,4731,0
11/01/2020 00:00:00,22037,44074
09/01/2020 00:00:00,4024.647,1244
08/01/2020 00:00:00,64046,123011
07/01/2020 00:00:00,40671,84703
06/01/2020 00:00:00,4659.4439999999995,1468
05/01/2020 00:00:00,0,5999
04/01/2020 00:00:00,0,221267
03/01/2020 00:00:00,9858,0
02/01/2020 00:00:00,454886,9685
01/01/2020 00:00:00,0,170
12/01/2019 00:00:00,8133,0
11/01/2019 00:00:00,665,671
09/01/2019 00:00:00,61576,0
08/01/2019 00:00:00,54562,129172
06/01/2019 00:00:00,7447,0
05/01/2019 00:00:00,107572,152
03/01/2019 00:00:00,7210,0
02/01/2019 00:00:00,0,7795
01/01/2019 00:00:00,382788,9342
12/01/2018 00:00:00,294205,0
09/01/2018 00:00:00,5589,4000
08/01/2018 00:00:00,10717,63475
07/01/2018 00:00:00,10160,0
06/01/2018 00:00:00,6547,0
03/01/2018 00:00:00,26631,0
02/01/2018 00:00:00,44251,73118
01/01/2018 00:00:00,60257,18726
12/01/2017 00:00:00,423973,575
11/01/2017 00:00:00,11186,55275
09/01/2017 00:00:00,6648,0
08/01/2017 00:00:00,0,1200
06/01/2017 00:00:00,7348,0
04/01/2017 00:00:00,0,1300
03/01/2017 00:00:00,6513,0
02/01/2017 00:00:00,119663,72286
12/01/2016 00:00:00,4011,0
