Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,19944
05/01/2023 00:00:00,11480,94555
04/01/2023 00:00:00,0,542
03/01/2023 00:00:00,242,159220
02/01/2023 00:00:00,103743,3230
12/01/2022 00:00:00,1500,28759
11/01/2022 00:00:00,0,142066
10/01/2022 00:00:00,2196,0
09/01/2022 00:00:00,0,3382
08/01/2022 00:00:00,0,18365
07/01/2022 00:00:00,0,23569
06/01/2022 00:00:00,5000,58197
05/01/2022 00:00:00,18641,1050
04/01/2022 00:00:00,6015,931
03/01/2022 00:00:00,0,75634
02/01/2022 00:00:00,93470,4537
01/01/2022 00:00:00,2313,56500
12/01/2021 00:00:00,0,23269
11/01/2021 00:00:00,11000,14264
10/01/2021 00:00:00,1038,0
09/01/2021 00:00:00,5000,4311
08/01/2021 00:00:00,0,87462
07/01/2021 00:00:00,87186,15325
06/01/2021 00:00:00,12104,1622
05/01/2021 00:00:00,0,6910
04/01/2021 00:00:00,7397,2264
03/01/2021 00:00:00,0,115240
02/01/2021 00:00:00,0,11379
01/01/2021 00:00:00,0,16213
12/01/2020 00:00:00,0,44912
11/01/2020 00:00:00,7000,28212
09/01/2020 00:00:00,0,1280
08/01/2020 00:00:00,0,122296
07/01/2020 00:00:00,146729,4734
06/01/2020 00:00:00,19512,25031
05/01/2020 00:00:00,1650,1200
04/01/2020 00:00:00,3000,65309
03/01/2020 00:00:00,2961,121733
02/01/2020 00:00:00,0,3064
01/01/2020 00:00:00,816,0
12/01/2019 00:00:00,0,30264
11/01/2019 00:00:00,0,3332
10/01/2019 00:00:00,0,16702
09/01/2019 00:00:00,8271,2034
08/01/2019 00:00:00,4000,25183
07/01/2019 00:00:00,70684,0
06/01/2019 00:00:00,16760,29317
05/01/2019 00:00:00,0,77341
04/01/2019 00:00:00,8000,12938
03/01/2019 00:00:00,0,106839
02/01/2019 00:00:00,20000,2096
12/01/2018 00:00:00,1034,845
11/01/2018 00:00:00,8075,54867
10/01/2018 00:00:00,0,1255
09/01/2018 00:00:00,0,44269
08/01/2018 00:00:00,4540,32233
07/01/2018 00:00:00,102310,0
06/01/2018 00:00:00,18063,16921
05/01/2018 00:00:00,100,163419
04/01/2018 00:00:00,10000,16320
03/01/2018 00:00:00,3000,51867
02/01/2018 00:00:00,7500,49502
01/01/2018 00:00:00,0,20000
12/01/2017 00:00:00,0,32236
11/01/2017 00:00:00,0,1625
10/01/2017 00:00:00,678,1369
09/01/2017 00:00:00,0,1423
08/01/2017 00:00:00,10154,4667
07/01/2017 00:00:00,74543,0
