Date,TotalBuy,TotalSell
06/01/2023 00:00:00,6123,24324
05/01/2023 00:00:00,5808,178496
04/01/2023 00:00:00,9055,13175
03/01/2023 00:00:00,2810596.738,415157
02/01/2023 00:00:00,9726,13853
01/01/2023 00:00:00,1247412,2164428.909
12/01/2022 00:00:00,12126.914,14727
11/01/2022 00:00:00,45416,122
10/01/2022 00:00:00,10977,14917
09/01/2022 00:00:00,4314.661,217680
08/01/2022 00:00:00,3432,4783
06/01/2022 00:00:00,6483.559,3821
05/01/2022 00:00:00,25000,8929
04/01/2022 00:00:00,42114,60162
03/01/2022 00:00:00,3951323.3,935435
02/01/2022 00:00:00,1113211.7449999999,43648
01/01/2022 00:00:00,21612,109067.277
12/01/2021 00:00:00,1522838.494,2132925
11/01/2021 00:00:00,34074,495
10/01/2021 00:00:00,543653.896,154367
09/01/2021 00:00:00,2793.7149999999997,11
08/01/2021 00:00:00,1287,14758
07/01/2021 00:00:00,2559,3820
06/01/2021 00:00:00,2740.3089999999997,4031
05/01/2021 00:00:00,0,13765.702
04/01/2021 00:00:00,31992,756367
03/01/2021 00:00:00,3350374.133,636034
02/01/2021 00:00:00,2181537.227,3492345
01/01/2021 00:00:00,5904,7922
12/01/2020 00:00:00,126989.675,143727
11/01/2020 00:00:00,35694,77143
10/01/2020 00:00:00,0,17673
09/01/2020 00:00:00,3377.425,39777
08/01/2020 00:00:00,295787,591574
07/01/2020 00:00:00,62502.162,0
06/01/2020 00:00:00,28772,13774
05/01/2020 00:00:00,1224289,1270617
04/01/2020 00:00:00,64620,496010
03/01/2020 00:00:00,5876200,1381074
02/01/2020 00:00:00,1639860,2335720
01/01/2020 00:00:00,11638,11638
12/01/2019 00:00:00,1974729,3661691
11/01/2019 00:00:00,37665,105898
10/01/2019 00:00:00,1164376,2353602
09/01/2019 00:00:00,1086742,1933382
08/01/2019 00:00:00,1287,2574
07/01/2019 00:00:00,78000,270000
06/01/2019 00:00:00,4862,6034
05/01/2019 00:00:00,66686,81803
04/01/2019 00:00:00,965311,2058378
03/01/2019 00:00:00,5793358,4916842
02/01/2019 00:00:00,2163790,3305979
01/01/2019 00:00:00,0,845
12/01/2018 00:00:00,167714,278159
11/01/2018 00:00:00,72297,319822
10/01/2018 00:00:00,14376,43044
09/01/2018 00:00:00,1510279,1524085
06/01/2018 00:00:00,8411,8321
05/01/2018 00:00:00,98610,47729
04/01/2018 00:00:00,72648,110673
03/01/2018 00:00:00,5265617,4372576
02/01/2018 00:00:00,563899,0
01/01/2018 00:00:00,766094,1519987
12/01/2017 00:00:00,838083,1983433
11/01/2017 00:00:00,42705,30184
10/01/2017 00:00:00,14376,180071
09/01/2017 00:00:00,12175,22076
08/01/2017 00:00:00,61780,63567
06/01/2017 00:00:00,5288073,5286838
05/01/2017 00:00:00,174724,775056
