Date,TotalBuy,TotalSell
06/01/2023 00:00:00,19363,0
05/01/2023 00:00:00,32527,41434
03/01/2023 00:00:00,24775,39852
02/01/2023 00:00:00,16110,28714
01/01/2023 00:00:00,111082,0
11/01/2022 00:00:00,12519,25037
08/01/2022 00:00:00,1816,49477
07/01/2022 00:00:00,1813,0
06/01/2022 00:00:00,19392,6378
05/01/2022 00:00:00,33789,40195
03/01/2022 00:00:00,924,310
02/01/2022 00:00:00,4085,5946
01/01/2022 00:00:00,118122,0
12/01/2021 00:00:00,44622,89244
11/01/2021 00:00:00,0,20120
10/01/2021 00:00:00,101546,0
08/01/2021 00:00:00,17240,64599
06/01/2021 00:00:00,13511,0
05/01/2021 00:00:00,8647,8647
04/01/2021 00:00:00,20387,2106
03/01/2021 00:00:00,24199,42383
02/01/2021 00:00:00,31032,458533
01/01/2021 00:00:00,123320,16530
12/01/2020 00:00:00,21643,62613
11/01/2020 00:00:00,2964,885358
10/01/2020 00:00:00,0,511988
08/01/2020 00:00:00,1550,363024
07/01/2020 00:00:00,0,3233534
06/01/2020 00:00:00,117931,405880
05/01/2020 00:00:00,15806,36050
04/01/2020 00:00:00,2276,102868
03/01/2020 00:00:00,6533,2364
02/01/2020 00:00:00,13366,230814
01/01/2020 00:00:00,104354,12601
11/01/2019 00:00:00,9038445,1080088
10/01/2019 00:00:00,41416,82833
09/01/2019 00:00:00,0,20159
08/01/2019 00:00:00,50439,100254
07/01/2019 00:00:00,1227987,152791
06/01/2019 00:00:00,0,111000
05/01/2019 00:00:00,56464,39140
04/01/2019 00:00:00,15063,134076
03/01/2019 00:00:00,8181,201555
02/01/2019 00:00:00,92313,191738
01/01/2019 00:00:00,88151,11608
12/01/2018 00:00:00,58935,119021
11/01/2018 00:00:00,118914,237829
10/01/2018 00:00:00,42937,412379
08/01/2018 00:00:00,8904,33062
07/01/2018 00:00:00,10109,2555
06/01/2018 00:00:00,25877,2809
05/01/2018 00:00:00,35544,150222
04/01/2018 00:00:00,8343,16686
03/01/2018 00:00:00,81754,170362
02/01/2018 00:00:00,1702656,1890056
01/01/2018 00:00:00,79991,8348
12/01/2017 00:00:00,1908,2773
11/01/2017 00:00:00,12008,24316
10/01/2017 00:00:00,119257,321262
09/01/2017 00:00:00,91116,182233
08/01/2017 00:00:00,6664,13328
07/01/2017 00:00:00,96777,144321
