Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,23050
05/01/2023 00:00:00,17913,21000
04/01/2023 00:00:00,0,21000
03/01/2023 00:00:00,870863,983123
02/01/2023 00:00:00,0,21000
01/01/2023 00:00:00,0,21000
12/01/2022 00:00:00,0,24120
11/01/2022 00:00:00,0,21000
10/01/2022 00:00:00,0,21000
09/01/2022 00:00:00,0,23239
08/01/2022 00:00:00,0,48250
07/01/2022 00:00:00,0,46000
06/01/2022 00:00:00,0,46000
05/01/2022 00:00:00,18227,395248
04/01/2022 00:00:00,0,46000
03/01/2022 00:00:00,378346,380368
02/01/2022 00:00:00,0,65855
01/01/2022 00:00:00,0,10000
12/01/2021 00:00:00,0,460258
11/01/2021 00:00:00,0,11200
10/01/2021 00:00:00,0,10000
09/01/2021 00:00:00,0,14543
08/01/2021 00:00:00,0,24186490
05/01/2021 00:00:00,58158,73301
03/01/2021 00:00:00,643194,8214809
09/01/2020 00:00:00,13643,0
05/01/2020 00:00:00,59480,0
03/01/2020 00:00:00,647956,232115
09/01/2019 00:00:00,0,8820
05/01/2019 00:00:00,726563,0
03/01/2019 00:00:00,408945,19258
12/01/2018 00:00:00,1859780,0
09/01/2018 00:00:00,641026,0
07/01/2018 00:00:00,170361639,135265629
06/01/2018 00:00:00,298508,0
01/01/2018 00:00:00,200000,200000
06/01/2017 00:00:00,333332,0
06/01/2016 00:00:00,212765,0
05/01/2015 00:00:00,3555556,0
04/01/2015 00:00:00,269234,0
01/01/2015 00:00:00,200000,0
06/01/2014 00:00:00,250894,0
02/01/2014 00:00:00,350000,0
08/01/2013 00:00:00,294117,0
