Date,TotalBuy,TotalSell
05/01/2023 00:00:00,187,1000
04/01/2023 00:00:00,5731,5547
03/01/2023 00:00:00,189,0
02/01/2023 00:00:00,1193636,1133570
01/01/2023 00:00:00,92782,134859.8151
12/01/2022 00:00:00,160,49703
11/01/2022 00:00:00,14655,60913
10/01/2022 00:00:00,1315,1665
09/01/2022 00:00:00,11782,21900
08/01/2022 00:00:00,171,2597
07/01/2022 00:00:00,194,0
06/01/2022 00:00:00,585108,1169800
05/01/2022 00:00:00,19364,79003
04/01/2022 00:00:00,2918,2597.9579
03/01/2022 00:00:00,102709,204800
02/01/2022 00:00:00,1151732.1277,1303826.2554
01/01/2022 00:00:00,101352,260886.1403
12/01/2021 00:00:00,133667,269958
11/01/2021 00:00:00,49242,79276
10/01/2021 00:00:00,5467,7120
09/01/2021 00:00:00,421,0
08/01/2021 00:00:00,23015,0
07/01/2021 00:00:00,511,0
06/01/2021 00:00:00,428,8979
05/01/2021 00:00:00,464,0
04/01/2021 00:00:00,5327,4831.839
03/01/2021 00:00:00,11619,22268
02/01/2021 00:00:00,1433231.5702,1182957.7628999997
01/01/2021 00:00:00,1026174,0
12/01/2020 00:00:00,974,688
11/01/2020 00:00:00,7052,12870
10/01/2020 00:00:00,2055,2503
09/01/2020 00:00:00,764,0
08/01/2020 00:00:00,412,0
07/01/2020 00:00:00,421,0
06/01/2020 00:00:00,378,0
05/01/2020 00:00:00,2770,0
04/01/2020 00:00:00,3810,3420.5911
03/01/2020 00:00:00,533,0
02/01/2020 00:00:00,2122134,2117879
01/01/2020 00:00:00,34186,0
12/01/2019 00:00:00,51575,25628
11/01/2019 00:00:00,7483,14278
10/01/2019 00:00:00,1542,2501
09/01/2019 00:00:00,359,0
08/01/2019 00:00:00,394,0
07/01/2019 00:00:00,349,0
06/01/2019 00:00:00,336,0
05/01/2019 00:00:00,351,0
04/01/2019 00:00:00,3861,3334.7609
03/01/2019 00:00:00,493,3362
02/01/2019 00:00:00,1987104,2138935
01/01/2019 00:00:00,37018,0
12/01/2018 00:00:00,786,0
11/01/2018 00:00:00,7455,13434
10/01/2018 00:00:00,12083,2500
09/01/2018 00:00:00,19508,37764
08/01/2018 00:00:00,270163,538992
07/01/2018 00:00:00,675,0
06/01/2018 00:00:00,546,0
05/01/2018 00:00:00,274135,553909
04/01/2018 00:00:00,4466,7432.4167
03/01/2018 00:00:00,25829,50000
02/01/2018 00:00:00,581325,402586
01/01/2018 00:00:00,41502,0
12/01/2017 00:00:00,3086,0
11/01/2017 00:00:00,1170,0
10/01/2017 00:00:00,1169,0
09/01/2017 00:00:00,1202,0
08/01/2017 00:00:00,1367,0
07/01/2017 00:00:00,1315,0
06/01/2017 00:00:00,1358,0
05/01/2017 00:00:00,1324,9091
04/01/2017 00:00:00,135486,187772
03/01/2017 00:00:00,1188,0
02/01/2017 00:00:00,1244,66128
