Date,TotalBuy,TotalSell
06/01/2023 00:00:00,54727,0
05/01/2023 00:00:00,67384,0
04/01/2023 00:00:00,254132,148780
03/01/2023 00:00:00,115770,0
02/01/2023 00:00:00,250,0
01/01/2023 00:00:00,1645,2133
12/01/2022 00:00:00,24766,41454
06/01/2022 00:00:00,0,6500000
05/01/2022 00:00:00,57878,30383
04/01/2022 00:00:00,78565,16520767
03/01/2022 00:00:00,72474,2653180
01/01/2022 00:00:00,5868,200325
12/01/2021 00:00:00,25952,52083
11/01/2021 00:00:00,5512623,1200
10/01/2021 00:00:00,0,1200
09/01/2021 00:00:00,0,1200
08/01/2021 00:00:00,602503,1200
07/01/2021 00:00:00,0,1200
06/01/2021 00:00:00,4331,7236
05/01/2021 00:00:00,52770,21570
04/01/2021 00:00:00,49477,66650
03/01/2021 00:00:00,101921,11200
02/01/2021 00:00:00,7271741,8968628
01/01/2021 00:00:00,8895,12869
12/01/2020 00:00:00,13494,22635
10/01/2020 00:00:00,16780,0
08/01/2020 00:00:00,2750,0
07/01/2020 00:00:00,40049,55809
06/01/2020 00:00:00,333328,83370
05/01/2020 00:00:00,207694,224563
04/01/2020 00:00:00,115381,154043
03/01/2020 00:00:00,2200000,0
02/01/2020 00:00:00,205050,0
01/01/2020 00:00:00,2976827,93236
12/01/2019 00:00:00,10488127,105296
08/01/2019 00:00:00,62415,82610
07/01/2019 00:00:00,40049,55809
06/01/2019 00:00:00,49802,67594
05/01/2019 00:00:00,351076,209590
03/01/2019 00:00:00,51260,124216
01/01/2019 00:00:00,1260016,54512
12/01/2018 00:00:00,236349,283545
09/01/2018 00:00:00,0,15000
07/01/2018 00:00:00,80100,111620
05/01/2018 00:00:00,889762,331697
03/01/2018 00:00:00,11667,14881
12/01/2017 00:00:00,330728,288613
11/01/2017 00:00:00,37500,0
07/01/2017 00:00:00,258780,0
05/01/2017 00:00:00,100910,151684
