Date,TotalBuy,TotalSell
06/01/2023 00:00:00,38.6352,0
05/01/2023 00:00:00,23850,102
03/01/2023 00:00:00,14055.2432,0
02/01/2023 00:00:00,218800,36254
12/01/2022 00:00:00,22032.6446,60025
11/01/2022 00:00:00,37500,124000
09/01/2022 00:00:00,32.4848,0
08/01/2022 00:00:00,12136,5246
06/01/2022 00:00:00,1030.372,0
05/01/2022 00:00:00,30625,447
03/01/2022 00:00:00,25.5254,0
02/01/2022 00:00:00,174008,64260
12/01/2021 00:00:00,18.7084,0
11/01/2021 00:00:00,78343,217983
09/01/2021 00:00:00,11.9712,0
08/01/2021 00:00:00,23600,48385
05/01/2021 00:00:00,21207,19509
02/01/2021 00:00:00,207080,113673
12/01/2020 00:00:00,45282,73482
11/01/2020 00:00:00,80000,161267
10/01/2020 00:00:00,3950,7205
08/01/2020 00:00:00,0,1075
05/01/2020 00:00:00,24082,496
02/01/2020 00:00:00,132156,109350
12/01/2019 00:00:00,2163,0
11/01/2019 00:00:00,96654,183948
08/01/2019 00:00:00,6404,1771
07/01/2019 00:00:00,5878,0
05/01/2019 00:00:00,20136,12103
03/01/2019 00:00:00,4000,15360
02/01/2019 00:00:00,124985,70728
12/01/2018 00:00:00,3000,0
11/01/2018 00:00:00,75000,154151
10/01/2018 00:00:00,25000,50000
09/01/2018 00:00:00,7500,0
08/01/2018 00:00:00,0,5318
07/01/2018 00:00:00,4500,5250
06/01/2018 00:00:00,0,3491
05/01/2018 00:00:00,13157,0
04/01/2018 00:00:00,2000,0
03/01/2018 00:00:00,26500,53000
02/01/2018 00:00:00,167876,38758
01/01/2018 00:00:00,6000,12000
12/01/2017 00:00:00,3000,6000
11/01/2017 00:00:00,111095,235057
09/01/2017 00:00:00,0,8643
08/01/2017 00:00:00,18104,18700
05/01/2017 00:00:00,20609,12363
03/01/2017 00:00:00,4.577,1200
02/01/2017 00:00:00,273,5141
