Date,TotalBuy,TotalSell
06/01/2023 00:00:00,373,0
05/01/2023 00:00:00,6924,0
03/01/2023 00:00:00,311,0
02/01/2023 00:00:00,34380,28775
01/01/2023 00:00:00,77484,0
12/01/2022 00:00:00,483,0
09/01/2022 00:00:00,858,0
08/01/2022 00:00:00,104595,214337
06/01/2022 00:00:00,223,0
05/01/2022 00:00:00,4984,1139
03/01/2022 00:00:00,246,2503
02/01/2022 00:00:00,103390,32332
01/01/2022 00:00:00,56950,32322
12/01/2021 00:00:00,410,0
09/01/2021 00:00:00,1083,0
08/01/2021 00:00:00,144087,294309
07/01/2021 00:00:00,29545,62685
06/01/2021 00:00:00,283,0
05/01/2021 00:00:00,35121,41986
03/01/2021 00:00:00,2486,4180
02/01/2021 00:00:00,215518,78522
01/01/2021 00:00:00,50177,34091
12/01/2020 00:00:00,5858,15628
11/01/2020 00:00:00,48415,96830
10/01/2020 00:00:00,0,1681
09/01/2020 00:00:00,1005,141
05/01/2020 00:00:00,18710,7856
02/01/2020 00:00:00,218741,78766
01/01/2020 00:00:00,40961,22117
12/01/2019 00:00:00,198,378
11/01/2019 00:00:00,63163,137964
10/01/2019 00:00:00,0,9674
09/01/2019 00:00:00,13536,23530
08/01/2019 00:00:00,0,934
07/01/2019 00:00:00,0,14254
06/01/2019 00:00:00,0,28571
05/01/2019 00:00:00,230,0
03/01/2019 00:00:00,15150,30300
02/01/2019 00:00:00,260556,106525
12/01/2018 00:00:00,44438,54123
10/01/2018 00:00:00,0,2539
09/01/2018 00:00:00,74553,39197
05/01/2018 00:00:00,66574,27070
02/01/2018 00:00:00,205287,1052
12/01/2017 00:00:00,52093,72261
09/01/2017 00:00:00,501,0
08/01/2017 00:00:00,0,6250
07/01/2017 00:00:00,0,19784
06/01/2017 00:00:00,0,250
05/01/2017 00:00:00,25720,29929
04/01/2017 00:00:00,18877,18736
02/01/2017 00:00:00,160183,1116
01/01/2017 00:00:00,8000,0
12/01/2016 00:00:00,72671,45083
