Date,TotalBuy,TotalSell
05/01/2023 00:00:00,0,2124
01/01/2023 00:00:00,0,643
12/01/2022 00:00:00,0,780
10/01/2022 00:00:00,49788,3802
09/01/2022 00:00:00,5696,0
08/01/2022 00:00:00,179004,74682
07/01/2022 00:00:00,194293,18791
06/01/2022 00:00:00,0,5118
02/01/2022 00:00:00,0,487092
01/01/2022 00:00:00,24102,4981
11/01/2021 00:00:00,7836777,3414348
10/01/2021 00:00:00,112337,298024
09/01/2021 00:00:00,0,11000
08/01/2021 00:00:00,165076,68207
07/01/2021 00:00:00,183644,22214
06/01/2021 00:00:00,5883,2800
05/01/2021 00:00:00,0,20
04/01/2021 00:00:00,845,0
03/01/2021 00:00:00,246891,495182
02/01/2021 00:00:00,5000,14604
01/01/2021 00:00:00,0,4445
12/01/2020 00:00:00,13662,37324
11/01/2020 00:00:00,5392280,5659928
10/01/2020 00:00:00,223348,537587
09/01/2020 00:00:00,0,2250
08/01/2020 00:00:00,227061,93420
07/01/2020 00:00:00,225933,41981
06/01/2020 00:00:00,22255,47334
05/01/2020 00:00:00,7200,7200
04/01/2020 00:00:00,3409,0
02/01/2020 00:00:00,2000,207
01/01/2020 00:00:00,37750,1680
12/01/2019 00:00:00,0,21170
11/01/2019 00:00:00,123880,250739
10/01/2019 00:00:00,47552,178684
09/01/2019 00:00:00,7068,8367
08/01/2019 00:00:00,242728,90090
07/01/2019 00:00:00,363979,185890
05/01/2019 00:00:00,734116,14130
03/01/2019 00:00:00,137138,270884
02/01/2019 00:00:00,12457,29866
01/01/2019 00:00:00,0,5199
11/01/2018 00:00:00,13000,0
10/01/2018 00:00:00,449169,942436
09/01/2018 00:00:00,17000,4868
08/01/2018 00:00:00,151848,47686
07/01/2018 00:00:00,298417,0
06/01/2018 00:00:00,15458,28664
03/01/2018 00:00:00,15515,37562
02/01/2018 00:00:00,11974,0
12/01/2017 00:00:00,207861,513370
11/01/2017 00:00:00,12500,0
10/01/2017 00:00:00,0,5206
09/01/2017 00:00:00,3500,22039
08/01/2017 00:00:00,282095,140561
07/01/2017 00:00:00,296116,14995
06/01/2017 00:00:00,74651,149302
04/01/2017 00:00:00,70716,132268
03/01/2017 00:00:00,264787,521311
02/01/2017 00:00:00,12013,0
