Date,TotalBuy,TotalSell
05/01/2023 00:00:00,73593,30000
03/01/2023 00:00:00,93666,114490
02/01/2023 00:00:00,1119563,0
01/01/2023 00:00:00,0,30682
12/01/2022 00:00:00,493576,862063
09/01/2022 00:00:00,0,7500
07/01/2022 00:00:00,24930,32031
06/01/2022 00:00:00,48472,40182
05/01/2022 00:00:00,0,110000
03/01/2022 00:00:00,4346,244657
02/01/2022 00:00:00,1439488,0
12/01/2021 00:00:00,1140718,562909
11/01/2021 00:00:00,0,375632
10/01/2021 00:00:00,10510991,2558366
07/01/2021 00:00:00,1821,0
04/01/2021 00:00:00,3344,0
03/01/2021 00:00:00,0,112500
02/01/2021 00:00:00,1131796,140615
01/01/2021 00:00:00,2951,0
12/01/2020 00:00:00,461935,644298
11/01/2020 00:00:00,0,5100
10/01/2020 00:00:00,2891,0
09/01/2020 00:00:00,0,54230
08/01/2020 00:00:00,0,33000
07/01/2020 00:00:00,3153,0
06/01/2020 00:00:00,0,250000
04/01/2020 00:00:00,2815,0
03/01/2020 00:00:00,0,200000
02/01/2020 00:00:00,1226024,162899
01/01/2020 00:00:00,412625,165270
12/01/2019 00:00:00,9459,9459
10/01/2019 00:00:00,3129,0
08/01/2019 00:00:00,27500,0
07/01/2019 00:00:00,11394,4500
04/01/2019 00:00:00,2058,0
03/01/2019 00:00:00,0,170720
02/01/2019 00:00:00,867574,111335
01/01/2019 00:00:00,410379,571863
12/01/2018 00:00:00,6094,6040
11/01/2018 00:00:00,22502,44703
10/01/2018 00:00:00,10999,15342
08/01/2018 00:00:00,3210,0
07/01/2018 00:00:00,2773,0
06/01/2018 00:00:00,10492,19481
05/01/2018 00:00:00,56528,13056
04/01/2018 00:00:00,2748,0
03/01/2018 00:00:00,0,9550
02/01/2018 00:00:00,764921,92535
01/01/2018 00:00:00,294521,410099
12/01/2017 00:00:00,25773,41583
11/01/2017 00:00:00,252454,607374
10/01/2017 00:00:00,3997,0
09/01/2017 00:00:00,39642,79284
08/01/2017 00:00:00,6200,2500
07/01/2017 00:00:00,2047,0
05/01/2017 00:00:00,38540,79172
04/01/2017 00:00:00,2163,0
02/01/2017 00:00:00,561052,4588
