Date,TotalBuy,TotalSell
04/01/2023 00:00:00,36306.6557,22983
02/01/2023 00:00:00,297553,8210
01/01/2023 00:00:00,104641.9605,77966
11/01/2022 00:00:00,0,3622
10/01/2022 00:00:00,994.7964,0
09/01/2022 00:00:00,0,10000
07/01/2022 00:00:00,1129.4526,0
04/01/2022 00:00:00,123279.7066,0
03/01/2022 00:00:00,87022,177044
02/01/2022 00:00:00,363153,41955
01/01/2022 00:00:00,327194.92339999997,143295
12/01/2021 00:00:00,0,4000
10/01/2021 00:00:00,948.7254,0
09/01/2021 00:00:00,32788,58333
08/01/2021 00:00:00,258858,483848
07/01/2021 00:00:00,956.9308000000001,0
05/01/2021 00:00:00,322841,503722
04/01/2021 00:00:00,150466.57270000002,0
03/01/2021 00:00:00,12157,21793
02/01/2021 00:00:00,549442,117872
01/01/2021 00:00:00,1387.6694,0
12/01/2020 00:00:00,10821,19366
11/01/2020 00:00:00,90195,173474
10/01/2020 00:00:00,1677.1527,0
08/01/2020 00:00:00,9010,0
07/01/2020 00:00:00,1951.3011000000001,60897
06/01/2020 00:00:00,6968,13611
05/01/2020 00:00:00,21958,0
04/01/2020 00:00:00,78169.6983,0
02/01/2020 00:00:00,946827,57428.795099999996
01/01/2020 00:00:00,2949.9481,0
12/01/2019 00:00:00,0,49092
11/01/2019 00:00:00,22975,0
10/01/2019 00:00:00,3233.9840999999997,0
08/01/2019 00:00:00,30633.4458,42485
07/01/2019 00:00:00,2033.8981999999999,0
06/01/2019 00:00:00,101304.9204,100
