Date,TotalBuy,TotalSell
05/01/2023 00:00:00,3699,7398
02/01/2023 00:00:00,6614,13228
12/01/2022 00:00:00,295958,350520
08/01/2022 00:00:00,1218,2436
05/01/2022 00:00:00,3699,7398
02/01/2022 00:00:00,19840,0
12/01/2021 00:00:00,311878,254286
08/01/2021 00:00:00,465,930
05/01/2021 00:00:00,11097,0
12/01/2020 00:00:00,408132,121100
12/01/2019 00:00:00,129112,52538
12/01/2018 00:00:00,89383,0
12/01/2017 00:00:00,1,0
12/01/2015 00:00:00,10486,20972
08/01/2015 00:00:00,1891,3782
12/01/2014 00:00:00,137517,275034
08/01/2014 00:00:00,1892,3784
12/01/2013 00:00:00,4644,18972
