Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,1071
05/01/2023 00:00:00,0,721
04/01/2023 00:00:00,179051,20673
03/01/2023 00:00:00,0,879
02/01/2023 00:00:00,3936450,919
01/01/2023 00:00:00,0,1000
12/01/2022 00:00:00,0,15756
11/01/2022 00:00:00,336000,847
10/01/2022 00:00:00,0,15100
09/01/2022 00:00:00,0,988
08/01/2022 00:00:00,472,1969
07/01/2022 00:00:00,0,2655
06/01/2022 00:00:00,4166565,2416
05/01/2022 00:00:00,84713,928
04/01/2022 00:00:00,7100000,2700
03/01/2022 00:00:00,25000,99590
02/01/2022 00:00:00,323959,1354
01/01/2022 00:00:00,138,1475
12/01/2021 00:00:00,4300000,18277264
11/01/2021 00:00:00,0,35791
10/01/2021 00:00:00,0,2008
09/01/2021 00:00:00,16352,38171
08/01/2021 00:00:00,997267,3188035
07/01/2021 00:00:00,1291000,4166780
06/01/2021 00:00:00,1201000,3874284
05/01/2021 00:00:00,6422648,2974603
04/01/2021 00:00:00,1068128,3465169
03/01/2021 00:00:00,1164620,3765089
02/01/2021 00:00:00,1134771,3331159
01/01/2021 00:00:00,964999,3073495
12/01/2020 00:00:00,3067976,10009682
11/01/2020 00:00:00,632759,2032222
10/01/2020 00:00:00,7230928,6699076
09/01/2020 00:00:00,37500,85133
08/01/2020 00:00:00,888500,2000974
07/01/2020 00:00:00,10890,481
06/01/2020 00:00:00,0,1147
05/01/2020 00:00:00,0,422
04/01/2020 00:00:00,1511112,424
03/01/2020 00:00:00,0,1000425
02/01/2020 00:00:00,148434,496
01/01/2020 00:00:00,0,507
12/01/2019 00:00:00,0,620
11/01/2019 00:00:00,167853,400763
10/01/2019 00:00:00,0,551
09/01/2019 00:00:00,10700,35581
08/01/2019 00:00:00,407258,1017289
07/01/2019 00:00:00,8631500,62693
06/01/2019 00:00:00,108463,701369
05/01/2019 00:00:00,497387,2240057
04/01/2019 00:00:00,827175,2646941
03/01/2019 00:00:00,1750165,5759820
02/01/2019 00:00:00,592756,1038267
01/01/2019 00:00:00,100000,0
12/01/2018 00:00:00,630000,0
11/01/2018 00:00:00,1050816,3280837
10/01/2018 00:00:00,510502,1799564
09/01/2018 00:00:00,2031843,2236086
07/01/2018 00:00:00,160369,0
05/01/2018 00:00:00,1650000,5362500
04/01/2018 00:00:00,3908030,12885530
03/01/2018 00:00:00,81000,0
02/01/2018 00:00:00,1000000,4750000
12/01/2017 00:00:00,0,1101624
08/01/2017 00:00:00,0,5500
05/01/2017 00:00:00,2007743,0
04/01/2017 00:00:00,526500,0
