Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,348
04/01/2023 00:00:00,4413,0
03/01/2023 00:00:00,19200,38400
01/01/2023 00:00:00,51970,10500
12/01/2022 00:00:00,105900,196681
10/01/2022 00:00:00,8884,14000
09/01/2022 00:00:00,347401,76607
07/01/2022 00:00:00,1966,0
06/01/2022 00:00:00,10044,14400
04/01/2022 00:00:00,1806,0
03/01/2022 00:00:00,11808,0
01/01/2022 00:00:00,54583,0
12/01/2021 00:00:00,26900,45659
10/01/2021 00:00:00,810,0
09/01/2021 00:00:00,307100,0
07/01/2021 00:00:00,14740,21145
06/01/2021 00:00:00,42800,84714
04/01/2021 00:00:00,805,0
03/01/2021 00:00:00,28400,56800
01/01/2021 00:00:00,62964,0
12/01/2020 00:00:00,9453,16302
10/01/2020 00:00:00,43800,64431
09/01/2020 00:00:00,482944,43761
06/01/2020 00:00:00,31800,76839
03/01/2020 00:00:00,0,10100
01/01/2020 00:00:00,71796,9467
12/01/2019 00:00:00,14459.889,14400
11/01/2019 00:00:00,61.715,0
10/01/2019 00:00:00,979.943,612
09/01/2019 00:00:00,573315.12,76163
08/01/2019 00:00:00,35.049,0
07/01/2019 00:00:00,199.08599999999998,918
06/01/2019 00:00:00,14434.247,28800
05/01/2019 00:00:00,34.393,0
04/01/2019 00:00:00,66.048,0
03/01/2019 00:00:00,14993.376999999999,32800
02/01/2019 00:00:00,3166.0310000000004,0
01/01/2019 00:00:00,83862.32,0
12/01/2018 00:00:00,234.273,0
11/01/2018 00:00:00,190.45600000000002,1836
10/01/2018 00:00:00,2876.6030000000005,0
09/01/2018 00:00:00,467521.86699999997,152241
08/01/2018 00:00:00,105.796,0
07/01/2018 00:00:00,14500.847,28800
06/01/2018 00:00:00,14499.926,28800
05/01/2018 00:00:00,149.73,0
04/01/2018 00:00:00,53.263,0
03/01/2018 00:00:00,587.858,0
02/01/2018 00:00:00,2948.348,0
01/01/2018 00:00:00,78950.607,0
12/01/2017 00:00:00,3746.6850000000004,3953
11/01/2017 00:00:00,232.66400000000002,0
10/01/2017 00:00:00,2317.844,0
09/01/2017 00:00:00,327508.70100000006,42714
08/01/2017 00:00:00,64.32300000000001,0
07/01/2017 00:00:00,59.559,0
06/01/2017 00:00:00,37859.941,71490
05/01/2017 00:00:00,88.956,0
04/01/2017 00:00:00,4.041,0
03/01/2017 00:00:00,15075,28800
02/01/2017 00:00:00,238.813,0
