Date,TotalBuy,TotalSell
04/01/2023 00:00:00,0,223000
03/01/2023 00:00:00,2091335,474262
12/01/2022 00:00:00,0,165811
09/01/2022 00:00:00,41945,27536
08/01/2022 00:00:00,0,248371
06/01/2022 00:00:00,0,5969
04/01/2022 00:00:00,0,70681
03/01/2022 00:00:00,1184240,428076
01/01/2022 00:00:00,0,3799
12/01/2021 00:00:00,1417,425449
10/01/2021 00:00:00,64387,197569
09/01/2021 00:00:00,331515,850650
08/01/2021 00:00:00,451580,9895
07/01/2021 00:00:00,414948,943111
06/01/2021 00:00:00,18369980,37120623
04/01/2021 00:00:00,0,3211
03/01/2021 00:00:00,542252,790251
02/01/2021 00:00:00,291420,582840
01/01/2021 00:00:00,1165731,2331462
12/01/2020 00:00:00,511759,1018854
11/01/2020 00:00:00,933063,1866126
10/01/2020 00:00:00,330590,787181
09/01/2020 00:00:00,318199,719082
08/01/2020 00:00:00,324698,146550
07/01/2020 00:00:00,619669,1290955
06/01/2020 00:00:00,4353911,439172
05/01/2020 00:00:00,281158,578320
04/01/2020 00:00:00,0,1491
03/01/2020 00:00:00,1880140,970187
02/01/2020 00:00:00,100000,207701
01/01/2020 00:00:00,3665837,21869421
12/01/2019 00:00:00,25901124,26108279
11/01/2019 00:00:00,794557,1596816
10/01/2019 00:00:00,778823,1425179
09/01/2019 00:00:00,423692,1281626
08/01/2019 00:00:00,317275,2867802
07/01/2019 00:00:00,943631,19853289
06/01/2019 00:00:00,52692101,87870366
04/01/2019 00:00:00,72083,0
03/01/2019 00:00:00,248796,0
02/01/2019 00:00:00,21963541,104938212
12/01/2018 00:00:00,8641211,8530342
09/01/2018 00:00:00,0,66453
06/01/2018 00:00:00,226108,0
04/01/2018 00:00:00,0,472727
02/01/2018 00:00:00,0,577781
01/01/2018 00:00:00,362967,576988
12/01/2017 00:00:00,14350,4700
11/01/2017 00:00:00,0,4700
10/01/2017 00:00:00,132213,142333
09/01/2017 00:00:00,39526,149091
08/01/2017 00:00:00,13058,4700
07/01/2017 00:00:00,33567,4700
06/01/2017 00:00:00,44672,8000
05/01/2017 00:00:00,10697,29394
04/01/2017 00:00:00,585666,957002
02/01/2017 00:00:00,24807,0
01/01/2017 00:00:00,269352.45,0
10/01/2016 00:00:00,72727,0
09/01/2016 00:00:00,524226753,353335337
