Date,TotalBuy,TotalSell
06/01/2023 00:00:00,179446757,266221207
05/01/2023 00:00:00,104800000,149600000
04/01/2023 00:00:00,10000,0
03/01/2023 00:00:00,7707982,5457982
01/01/2023 00:00:00,70470,60160
12/01/2022 00:00:00,109815952,140333047
09/01/2022 00:00:00,110000,0
08/01/2022 00:00:00,2406888,1706888
07/01/2022 00:00:00,3132500,3132500
06/01/2022 00:00:00,174492861,261985722
05/01/2022 00:00:00,49055000,47800000
04/01/2022 00:00:00,140000,0
03/01/2022 00:00:00,19926492,20532853
02/01/2022 00:00:00,440000,0
01/01/2022 00:00:00,230430,7485
12/01/2021 00:00:00,85084545,101355919
11/01/2021 00:00:00,350000,350000
09/01/2021 00:00:00,540000,540500
07/01/2021 00:00:00,216986,0
06/01/2021 00:00:00,83446056,103854680
05/01/2021 00:00:00,21658609,22159284
04/01/2021 00:00:00,63200,26400
03/01/2021 00:00:00,19650526,29295052
01/01/2021 00:00:00,35000,0
12/01/2020 00:00:00,55541743,69053806
11/01/2020 00:00:00,39080662,53925270
09/01/2020 00:00:00,430000,860000
07/01/2020 00:00:00,521200,104885
06/01/2020 00:00:00,77661326,92138982
05/01/2020 00:00:00,47589692,74254220
04/01/2020 00:00:00,1040,1349
03/01/2020 00:00:00,53963755,53980255
02/01/2020 00:00:00,0,10000
01/01/2020 00:00:00,895000,0
12/01/2019 00:00:00,88936212,106426166
11/01/2019 00:00:00,0,1787
09/01/2019 00:00:00,14759259,0
08/01/2019 00:00:00,800005,0
07/01/2019 00:00:00,100000,0
05/01/2019 00:00:00,109700951,123118163
04/01/2019 00:00:00,109790,1337
03/01/2019 00:00:00,22036245,44072490
02/01/2019 00:00:00,40000,0
01/01/2019 00:00:00,105000,0
12/01/2018 00:00:00,145000,50400
11/01/2018 00:00:00,87773288,116929951
10/01/2018 00:00:00,1390000,0
09/01/2018 00:00:00,10000,0
07/01/2018 00:00:00,63897620,127261024
06/01/2018 00:00:00,20000,0
05/01/2018 00:00:00,56496261,80792522
04/01/2018 00:00:00,162500,1190
03/01/2018 00:00:00,36007040,36007341
02/01/2018 00:00:00,5000,10000
01/01/2018 00:00:00,926250,228
12/01/2017 00:00:00,0,573
11/01/2017 00:00:00,53515066,53516851
10/01/2017 00:00:00,0,325
08/01/2017 00:00:00,125000,150785
07/01/2017 00:00:00,20000,100
06/01/2017 00:00:00,0,1000
05/01/2017 00:00:00,57126320,57146320
03/01/2017 00:00:00,41378,82756
01/01/2017 00:00:00,335000,120092
