Date,TotalBuy,TotalSell
06/01/2023 00:00:00,27090,54180
05/01/2023 00:00:00,24030,53623
04/01/2023 00:00:00,30779,61558
03/01/2023 00:00:00,30780,62560
02/01/2023 00:00:00,279362,439923
12/01/2022 00:00:00,494194,94998
11/01/2022 00:00:00,0,40
10/01/2022 00:00:00,54300,112085
08/01/2022 00:00:00,16688,34376
07/01/2022 00:00:00,0,1513
05/01/2022 00:00:00,169961,104911
02/01/2022 00:00:00,116094,94176
01/01/2022 00:00:00,29453,64074
12/01/2021 00:00:00,351285,110362
11/01/2021 00:00:00,3029457,3075548
10/01/2021 00:00:00,112866,58914
09/01/2021 00:00:00,29457,58914
08/01/2021 00:00:00,207922,420662
07/01/2021 00:00:00,29457,60543
06/01/2021 00:00:00,50457,100914
05/01/2021 00:00:00,60375,91293
04/01/2021 00:00:00,29457,88371
03/01/2021 00:00:00,60957,121914
02/01/2021 00:00:00,141938,258702
01/01/2021 00:00:00,91597,91597
12/01/2020 00:00:00,405389,170505
11/01/2020 00:00:00,6388841,3561398
10/01/2020 00:00:00,31667,63334
09/01/2020 00:00:00,3754000,3783000
08/01/2020 00:00:00,219221,438948
07/01/2020 00:00:00,4167,9847
05/01/2020 00:00:00,109664,219328
03/01/2020 00:00:00,1300000,1300000
02/01/2020 00:00:00,648770,1097973
01/01/2020 00:00:00,48160,96320
12/01/2019 00:00:00,560800,72082
11/01/2019 00:00:00,188835,372530
09/01/2019 00:00:00,0,182
08/01/2019 00:00:00,95541,193946
07/01/2019 00:00:00,7646292,8445497
06/01/2019 00:00:00,162166,324332
05/01/2019 00:00:00,428343,851516
04/01/2019 00:00:00,241173,482346
03/01/2019 00:00:00,371656,497312
02/01/2019 00:00:00,682192,1326085
12/01/2018 00:00:00,651000,74283
11/01/2018 00:00:00,1065000,2133334
09/01/2018 00:00:00,22642,45284
08/01/2018 00:00:00,62000,139000
07/01/2018 00:00:00,369858,454716
06/01/2018 00:00:00,6180598,3435598
05/01/2018 00:00:00,1084439,2186378
04/01/2018 00:00:00,88538,177076
03/01/2018 00:00:00,4886400,5886400
02/01/2018 00:00:00,334263,650523
01/01/2018 00:00:00,93527,187054
12/01/2017 00:00:00,714000,352275
11/01/2017 00:00:00,412251,986729
10/01/2017 00:00:00,46355,110020
09/01/2017 00:00:00,59000,118000
08/01/2017 00:00:00,1100000,2160000
07/01/2017 00:00:00,100000,200000
05/01/2017 00:00:00,4279500,4319021
03/01/2017 00:00:00,12000,39000
02/01/2017 00:00:00,0,443
