Date,TotalBuy,TotalSell
06/01/2023 00:00:00,475777,18241719
05/01/2023 00:00:00,434103,0
03/01/2023 00:00:00,15812,31624
02/01/2023 00:00:00,39530,14876024
12/01/2022 00:00:00,308710,56985
11/01/2022 00:00:00,0,41217
09/01/2022 00:00:00,47436,51303
08/01/2022 00:00:00,41520,14726
06/01/2022 00:00:00,285280,0
05/01/2022 00:00:00,181774,54362
03/01/2022 00:00:00,2500,0
02/01/2022 00:00:00,17160,9131
01/01/2022 00:00:00,8170,0
12/01/2021 00:00:00,265566,201433
11/01/2021 00:00:00,25888,186750
10/01/2021 00:00:00,0,55000
09/01/2021 00:00:00,0,55000
08/01/2021 00:00:00,47468,195610
07/01/2021 00:00:00,6900,55000
06/01/2021 00:00:00,159051,373102
05/01/2021 00:00:00,154200,161260
04/01/2021 00:00:00,0,55000
03/01/2021 00:00:00,102277,327476
02/01/2021 00:00:00,0,157552
01/01/2021 00:00:00,0,62400
12/01/2020 00:00:00,0,10984724
11/01/2020 00:00:00,649,147362
10/01/2020 00:00:00,0,62400
09/01/2020 00:00:00,0,112400
08/01/2020 00:00:00,35000,22291027
07/01/2020 00:00:00,0,112400
06/01/2020 00:00:00,0,30546193
05/01/2020 00:00:00,864200,192400
04/01/2020 00:00:00,0,152400
03/01/2020 00:00:00,0,167400
02/01/2020 00:00:00,0,22232757
12/01/2019 00:00:00,0,27718939
09/01/2019 00:00:00,19140,0
08/01/2019 00:00:00,0,976989
07/01/2019 00:00:00,1646000,0
