Date,TotalBuy,TotalSell
06/01/2023 00:00:00,1000,1839
05/01/2023 00:00:00,14693.36,10256.720000000001
04/01/2023 00:00:00,470.23,316
02/01/2023 00:00:00,175407.34,56195.340000000004
01/01/2023 00:00:00,12141.550000000003,28708.640000000014
10/01/2022 00:00:00,555.88,0
08/01/2022 00:00:00,0,5770.23
07/01/2022 00:00:00,503.25,0
06/01/2022 00:00:00,0,1809
05/01/2022 00:00:00,15150,2887
04/01/2022 00:00:00,481.69,0
03/01/2022 00:00:00,0,3850
02/01/2022 00:00:00,300873,126014
01/01/2022 00:00:00,16145.39,37038
12/01/2021 00:00:00,0,1400
10/01/2021 00:00:00,884.3,0
08/01/2021 00:00:00,0,25000
07/01/2021 00:00:00,882.6399999999999,0
05/01/2021 00:00:00,70399,70399
04/01/2021 00:00:00,742.31,0
03/01/2021 00:00:00,15262,16862
02/01/2021 00:00:00,395,3789
01/01/2021 00:00:00,236858.20999999996,112267.15999999992
12/01/2020 00:00:00,0,302
11/01/2020 00:00:00,0,30751
10/01/2020 00:00:00,565.28,9759
07/01/2020 00:00:00,582.96,0
05/01/2020 00:00:00,9000,400
04/01/2020 00:00:00,13056.04,12328
02/01/2020 00:00:00,12328,48353
01/01/2020 00:00:00,233511.58000000007,82786.01999999993
12/01/2019 00:00:00,0,20819
10/01/2019 00:00:00,427.02,0
09/01/2019 00:00:00,1537,0
08/01/2019 00:00:00,11500,33000
07/01/2019 00:00:00,442.88,0
06/01/2019 00:00:00,24843,20551
05/01/2019 00:00:00,12000,31737.22
04/01/2019 00:00:00,388.13,0
03/01/2019 00:00:00,20097,20097
02/01/2019 00:00:00,11340,52084
01/01/2019 00:00:00,338485.66000000003,133194.56000000006
12/01/2018 00:00:00,4000,24848
11/01/2018 00:00:00,29786,45826
10/01/2018 00:00:00,599.61,0
08/01/2018 00:00:00,10000,23800
07/01/2018 00:00:00,628.65,1678
06/01/2018 00:00:00,0,1255
05/01/2018 00:00:00,16000,30000
04/01/2018 00:00:00,15024.22,13890
03/01/2018 00:00:00,0,9021
02/01/2018 00:00:00,12500,45241
01/01/2018 00:00:00,214426.82000000004,73650.5
12/01/2017 00:00:00,0,23221
11/01/2017 00:00:00,12389,24778
10/01/2017 00:00:00,30841.590000000004,30000
08/01/2017 00:00:00,0,13871.130000000001
07/01/2017 00:00:00,13853.349999999999,24000
06/01/2017 00:00:00,0,11374.18
05/01/2017 00:00:00,0,3800
04/01/2017 00:00:00,17885.920000000002,34000
03/01/2017 00:00:00,138,0
