Date,TotalBuy,TotalSell
06/01/2023 00:00:00,880.176,0
05/01/2023 00:00:00,16393.256999999998,0
04/01/2023 00:00:00,403.485,484
03/01/2023 00:00:00,1297.3080000000002,0
02/01/2023 00:00:00,310966.9872,248356
01/01/2023 00:00:00,218.73269999999997,0
12/01/2022 00:00:00,1505.3919,0
11/01/2022 00:00:00,364.33590000000004,0
10/01/2022 00:00:00,225.27100000000002,0
09/01/2022 00:00:00,1632.881,0
08/01/2022 00:00:00,210.735,0
07/01/2022 00:00:00,288.722,0
06/01/2022 00:00:00,1511.773,0
05/01/2022 00:00:00,18731.614,0
04/01/2022 00:00:00,416.5844,0
03/01/2022 00:00:00,1603.2439000000002,202
02/01/2022 00:00:00,396003.685,223476
01/01/2022 00:00:00,146.524,0
12/01/2021 00:00:00,1991.748,6132
11/01/2021 00:00:00,167.997,0
10/01/2021 00:00:00,167.997,0
09/01/2021 00:00:00,2306.862,0
08/01/2021 00:00:00,167.886,0
07/01/2021 00:00:00,203.09700000000004,0
06/01/2021 00:00:00,2920.636,53438
05/01/2021 00:00:00,21118.996,0
04/01/2021 00:00:00,313.634,0.161
03/01/2021 00:00:00,2492.589,340.627
02/01/2021 00:00:00,282838.887,145642
01/01/2021 00:00:00,1562.964,0
12/01/2020 00:00:00,3121.172,0
11/01/2020 00:00:00,191.086,0
10/01/2020 00:00:00,238.60399999999998,0
09/01/2020 00:00:00,2059.8419999999996,0
08/01/2020 00:00:00,225.478,0
07/01/2020 00:00:00,224.73700000000002,0
06/01/2020 00:00:00,4156.703,0
05/01/2020 00:00:00,18696.232,0
04/01/2020 00:00:00,201.513,0
03/01/2020 00:00:00,1939.815,0
02/01/2020 00:00:00,313262.75800000003,286155
01/01/2020 00:00:00,184.457,0
12/01/2019 00:00:00,1733.2890000000002,433
11/01/2019 00:00:00,163.267,0
10/01/2019 00:00:00,153.008,0
09/01/2019 00:00:00,1677.38,0
08/01/2019 00:00:00,188.943,0
07/01/2019 00:00:00,188.29399999999998,0
06/01/2019 00:00:00,1822.781,0
05/01/2019 00:00:00,15702.807,0
04/01/2019 00:00:00,191.725,0
03/01/2019 00:00:00,2053.803,364
02/01/2019 00:00:00,390049.722,355236
01/01/2019 00:00:00,211.77499999999998,0
12/01/2018 00:00:00,1975.8600000000001,306
11/01/2018 00:00:00,208.987,0
10/01/2018 00:00:00,209.678,0
09/01/2018 00:00:00,1989.228,0
08/01/2018 00:00:00,204.075,0
07/01/2018 00:00:00,206.673,0
06/01/2018 00:00:00,1991.81,0
05/01/2018 00:00:00,18489.03,0
04/01/2018 00:00:00,206.73999999999998,0
03/01/2018 00:00:00,2352.25,741.33
02/01/2018 00:00:00,229197.66,271984
01/01/2018 00:00:00,199.35,0
12/01/2017 00:00:00,194756.46,193577
11/01/2017 00:00:00,1715.74,0
10/01/2017 00:00:00,190.08999999999997,0
09/01/2017 00:00:00,1453.29,0
08/01/2017 00:00:00,189.1,1907.74
07/01/2017 00:00:00,194.44,0
06/01/2017 00:00:00,1390.08,0
05/01/2017 00:00:00,16388.53,0
04/01/2017 00:00:00,510.24,564
03/01/2017 00:00:00,1433.5,0
02/01/2017 00:00:00,14369.09,19016
