Date,TotalBuy,TotalSell
05/01/2023 00:00:00,11410,51305
03/01/2023 00:00:00,0,4280
02/01/2023 00:00:00,56141,9329
12/01/2022 00:00:00,101844,356745
11/01/2022 00:00:00,101844,127933
05/01/2022 00:00:00,12491,11073
02/01/2022 00:00:00,14640,1176
12/01/2021 00:00:00,110163,393456
11/01/2021 00:00:00,111556,96825
09/01/2021 00:00:00,24300,24300
06/01/2021 00:00:00,1166,0
05/01/2021 00:00:00,6153,564
02/01/2021 00:00:00,18581,4757
12/01/2020 00:00:00,150000,0
11/01/2020 00:00:00,1383951,208036
10/01/2020 00:00:00,0,119400
06/01/2020 00:00:00,0,105000
05/01/2020 00:00:00,17876,1230
03/01/2020 00:00:00,56659,5392
02/01/2020 00:00:00,0,12000
12/01/2019 00:00:00,227324,172296
11/01/2019 00:00:00,42130,84260
08/01/2019 00:00:00,13850,34844
06/01/2019 00:00:00,5461,10922
05/01/2019 00:00:00,5600,392
04/01/2019 00:00:00,415635,0
02/01/2019 00:00:00,54009,15879
12/01/2018 00:00:00,109950,68810
11/01/2018 00:00:00,129184,258368
10/01/2018 00:00:00,88413,176826
09/01/2018 00:00:00,80000,209000
08/01/2018 00:00:00,231744,463488
07/01/2018 00:00:00,25000,50000
05/01/2018 00:00:00,69408,122369
03/01/2018 00:00:00,63556,18468
02/01/2018 00:00:00,0,80000
12/01/2017 00:00:00,188924,84741
10/01/2017 00:00:00,0,63538
09/01/2017 00:00:00,49238,108752
08/01/2017 00:00:00,0,157352
07/01/2017 00:00:00,27968,55936
06/01/2017 00:00:00,55544,116377
05/01/2017 00:00:00,8344,825
03/01/2017 00:00:00,74227,24667
12/01/2016 00:00:00,168832,4851
11/01/2016 00:00:00,10000,20000
10/01/2016 00:00:00,0,5000
08/01/2016 00:00:00,0,122918
