Date,TotalBuy,TotalSell
05/01/2023 00:00:00,4570,0
03/01/2023 00:00:00,190418,62299
01/01/2023 00:00:00,3983,0
12/01/2022 00:00:00,0,1871
11/01/2022 00:00:00,200,10279
06/01/2022 00:00:00,6328,13076
05/01/2022 00:00:00,3960,990
03/01/2022 00:00:00,175106,62583
02/01/2022 00:00:00,2763,5526
12/01/2021 00:00:00,0,2315
11/01/2021 00:00:00,8630,0
10/01/2021 00:00:00,0,1461
09/01/2021 00:00:00,416,3507
07/01/2021 00:00:00,1300,5543
05/01/2021 00:00:00,50388,99395
03/01/2021 00:00:00,360626,178268
02/01/2021 00:00:00,1700,0
12/01/2020 00:00:00,10862,31565
11/01/2020 00:00:00,3601,19809
10/01/2020 00:00:00,22739,21002
09/01/2020 00:00:00,0,118
07/01/2020 00:00:00,0,231
06/01/2020 00:00:00,11421,33427
05/01/2020 00:00:00,24552,38726
04/01/2020 00:00:00,4445,45050
03/01/2020 00:00:00,376037,70398
01/01/2020 00:00:00,7600,0
12/01/2019 00:00:00,25853,26442
11/01/2019 00:00:00,4935,18203
10/01/2019 00:00:00,522,10203
09/01/2019 00:00:00,0,109
07/01/2019 00:00:00,0,2352
06/01/2019 00:00:00,8826,19685
05/01/2019 00:00:00,6787,3182
04/01/2019 00:00:00,0,185
03/01/2019 00:00:00,183633,35444
02/01/2019 00:00:00,7700,15400
01/01/2019 00:00:00,7700,15900
12/01/2018 00:00:00,0,3000
11/01/2018 00:00:00,7826,20652
10/01/2018 00:00:00,0,4584
09/01/2018 00:00:00,8878,10898
08/01/2018 00:00:00,0,3748
07/01/2018 00:00:00,35104,45345
06/01/2018 00:00:00,0,275
05/01/2018 00:00:00,66198,123090
04/01/2018 00:00:00,0,184
03/01/2018 00:00:00,324024,180974
02/01/2018 00:00:00,64607,128806
01/01/2018 00:00:00,67841,149429
12/01/2017 00:00:00,21125,42250
11/01/2017 00:00:00,22103,45808
10/01/2017 00:00:00,21125,42713
09/01/2017 00:00:00,25957,42250
08/01/2017 00:00:00,9127,18991
06/01/2017 00:00:00,867,5096
05/01/2017 00:00:00,6930,8137
04/01/2017 00:00:00,24610,31814
03/01/2017 00:00:00,286,42667
