Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,48718
05/01/2023 00:00:00,2838,11925
03/01/2023 00:00:00,69,0
02/01/2023 00:00:00,19330,0
12/01/2022 00:00:00,41475,78454
11/01/2022 00:00:00,154064,279065
10/01/2022 00:00:00,150721,2976
08/01/2022 00:00:00,8000,12657
03/01/2022 00:00:00,10000,17580
02/01/2022 00:00:00,19050,213
12/01/2021 00:00:00,0,1833
11/01/2021 00:00:00,178201,43145
10/01/2021 00:00:00,0,7181
09/01/2021 00:00:00,15000,0
08/01/2021 00:00:00,0,12850
04/01/2021 00:00:00,12000,0
03/01/2021 00:00:00,22408,23695
02/01/2021 00:00:00,93657,0
12/01/2020 00:00:00,7700,11190
11/01/2020 00:00:00,258325,42592
10/01/2020 00:00:00,733,1846
09/01/2020 00:00:00,98369,163009
08/01/2020 00:00:00,18000,33198
06/01/2020 00:00:00,32951,45617
03/01/2020 00:00:00,5000,0
02/01/2020 00:00:00,20300,0
12/01/2019 00:00:00,0,8111
11/01/2019 00:00:00,494652,459119
10/01/2019 00:00:00,0,8951
08/01/2019 00:00:00,18758,18982
06/01/2019 00:00:00,1618,40333
02/01/2019 00:00:00,59458,43065
12/01/2018 00:00:00,1200,7852
11/01/2018 00:00:00,230871,9070
10/01/2018 00:00:00,600,64942
09/01/2018 00:00:00,0,60000
08/01/2018 00:00:00,82437,154597
06/01/2018 00:00:00,0,24166
05/01/2018 00:00:00,5000,8699
04/01/2018 00:00:00,60000,0
02/01/2018 00:00:00,14266,0
12/01/2017 00:00:00,35821,84515
11/01/2017 00:00:00,0,36679
10/01/2017 00:00:00,0,56837
09/01/2017 00:00:00,542542,799656
08/01/2017 00:00:00,6000,13438
05/01/2017 00:00:00,91810,165538
03/01/2017 00:00:00,10000,19109
02/01/2017 00:00:00,86636,124541
12/01/2016 00:00:00,35000,36500
11/01/2016 00:00:00,106775,3809
