Date,TotalBuy,TotalSell
04/01/2023 00:00:00,0,4005
03/01/2023 00:00:00,391043,0
02/01/2023 00:00:00,682255,658469
01/01/2023 00:00:00,0,150461
11/01/2022 00:00:00,0,27000
08/01/2022 00:00:00,0,343917
06/01/2022 00:00:00,456674,0
03/01/2022 00:00:00,443709,17663
02/01/2022 00:00:00,0,10000
01/01/2022 00:00:00,314597,310108
12/01/2021 00:00:00,0,10607
08/01/2021 00:00:00,0,121054034
07/01/2021 00:00:00,141066,0
06/01/2021 00:00:00,0,1222
05/01/2021 00:00:00,613388,9904
02/01/2021 00:00:00,628930,0
01/01/2021 00:00:00,1142250,117036
11/01/2020 00:00:00,600476,0
09/01/2020 00:00:00,40000,40000
08/01/2020 00:00:00,638980,55734
07/01/2020 00:00:00,209882,173200
06/01/2020 00:00:00,41696,41696
05/01/2020 00:00:00,597484,0
04/01/2020 00:00:00,102908,0
03/01/2020 00:00:00,0,6135
02/01/2020 00:00:00,893589,155772
01/01/2020 00:00:00,914906,124233
11/01/2019 00:00:00,604508,0
10/01/2019 00:00:00,135318,0
09/01/2019 00:00:00,213459,341471
08/01/2019 00:00:00,749728,0
06/01/2019 00:00:00,2070,2070
05/01/2019 00:00:00,754631,15196
03/01/2019 00:00:00,207007,61751
02/01/2019 00:00:00,1954189,113828
01/01/2019 00:00:00,96594805,100770
11/01/2018 00:00:00,3000,0
08/01/2018 00:00:00,283700,81705
07/01/2018 00:00:00,140792,115551075
05/01/2018 00:00:00,0,15023
04/01/2018 00:00:00,0,1400
03/01/2018 00:00:00,229278,50223
01/01/2018 00:00:00,72859,62632
11/01/2017 00:00:00,0,3600
09/01/2017 00:00:00,0,2042
07/01/2017 00:00:00,0,1763
03/01/2017 00:00:00,200548,82563
02/01/2017 00:00:00,0,117825
12/01/2016 00:00:00,0,5400
10/01/2016 00:00:00,39063,0
07/01/2016 00:00:00,0,5147
03/01/2016 00:00:00,34652,5309
02/01/2016 00:00:00,347699,0
01/01/2016 00:00:00,0,23623
06/01/2015 00:00:00,0,33431
03/01/2015 00:00:00,86390,0
