Date,TotalBuy,TotalSell
05/01/2023 00:00:00,61497,0
04/01/2023 00:00:00,41880,18494
03/01/2023 00:00:00,282026,116115
01/01/2023 00:00:00,164,2000
11/01/2022 00:00:00,0,5000
08/01/2022 00:00:00,0,200
06/01/2022 00:00:00,18054,0
03/01/2022 00:00:00,223390,99453
02/01/2022 00:00:00,290,3245
09/01/2021 00:00:00,210,360
07/01/2021 00:00:00,0,1470
06/01/2021 00:00:00,0,200
05/01/2021 00:00:00,10290,3677
03/01/2021 00:00:00,150486,72242
02/01/2021 00:00:00,90,3454
12/01/2020 00:00:00,0,9074
11/01/2020 00:00:00,0,2130
10/01/2020 00:00:00,33135,49564
08/01/2020 00:00:00,19768,0
03/01/2020 00:00:00,152172,234070
01/01/2020 00:00:00,205,2626
12/01/2019 00:00:00,0,5000
10/01/2019 00:00:00,1893,0
09/01/2019 00:00:00,2512,0
08/01/2019 00:00:00,63745,0
03/01/2019 00:00:00,265710,383075
02/01/2019 00:00:00,156,0
01/01/2019 00:00:00,0,1902
12/01/2018 00:00:00,31,31
11/01/2018 00:00:00,40,40
08/01/2018 00:00:00,10612,0
06/01/2018 00:00:00,0,63062
05/01/2018 00:00:00,0,87905
04/01/2018 00:00:00,0,21763
03/01/2018 00:00:00,202255,298839
02/01/2018 00:00:00,7033,11593
01/01/2018 00:00:00,0,3200
12/01/2017 00:00:00,0,7250
11/01/2017 00:00:00,0,2400
10/01/2017 00:00:00,0,10000
09/01/2017 00:00:00,0,1916
08/01/2017 00:00:00,17040,0
07/01/2017 00:00:00,0,124
06/01/2017 00:00:00,0,28758
05/01/2017 00:00:00,0,1590
04/01/2017 00:00:00,0,108600
03/01/2017 00:00:00,204882,374637
02/01/2017 00:00:00,0,500
12/01/2016 00:00:00,0,1782
11/01/2016 00:00:00,0,1000
