Date,TotalBuy,TotalSell
06/01/2023 00:00:00,37061,5729
05/01/2023 00:00:00,640,15387
04/01/2023 00:00:00,709,1000
03/01/2023 00:00:00,0,9628
02/01/2023 00:00:00,322765,220650
01/01/2023 00:00:00,13257,6477
10/01/2022 00:00:00,35006,51878
08/01/2022 00:00:00,2712,3696
07/01/2022 00:00:00,4608,9223
06/01/2022 00:00:00,51402,4086
05/01/2022 00:00:00,1504,0
03/01/2022 00:00:00,246622,271699
02/01/2022 00:00:00,559044,500787
01/01/2022 00:00:00,10379,0
11/01/2021 00:00:00,0,16922
10/01/2021 00:00:00,0,17078
09/01/2021 00:00:00,0,18978
08/01/2021 00:00:00,0,19970
07/01/2021 00:00:00,0,92548
06/01/2021 00:00:00,48688,53388
05/01/2021 00:00:00,0,19240
04/01/2021 00:00:00,1396,22755
03/01/2021 00:00:00,94132,221900
02/01/2021 00:00:00,284506,330583
01/01/2021 00:00:00,0,31814
12/01/2020 00:00:00,0,86327
11/01/2020 00:00:00,0,32819
10/01/2020 00:00:00,1260,27425
09/01/2020 00:00:00,4401,28729
08/01/2020 00:00:00,6618,34678
07/01/2020 00:00:00,105005,183365
04/01/2020 00:00:00,97183,36948
02/01/2020 00:00:00,422834,210575
01/01/2020 00:00:00,0,10000
12/01/2019 00:00:00,24066,23774
11/01/2019 00:00:00,65639,93205
10/01/2019 00:00:00,110,0
09/01/2019 00:00:00,7500,11027
07/01/2019 00:00:00,93955,135861
04/01/2019 00:00:00,26272,36192
03/01/2019 00:00:00,34644,44426
02/01/2019 00:00:00,291087,229084
01/01/2019 00:00:00,1133517,1135098
11/01/2018 00:00:00,171181,438190
10/01/2018 00:00:00,1255,86441
09/01/2018 00:00:00,4688,4688
08/01/2018 00:00:00,0,36892
07/01/2018 00:00:00,50820,39834
06/01/2018 00:00:00,4687,4687
05/01/2018 00:00:00,0,75726
04/01/2018 00:00:00,87910,20900
03/01/2018 00:00:00,68101,102113
02/01/2018 00:00:00,741462,628249
01/01/2018 00:00:00,240528,478034
12/01/2017 00:00:00,245361,542883
11/01/2017 00:00:00,271872,589509
10/01/2017 00:00:00,47711,145390
09/01/2017 00:00:00,122688,244146
08/01/2017 00:00:00,64214,61714
07/01/2017 00:00:00,1010942,26583
06/01/2017 00:00:00,4687,4687
05/01/2017 00:00:00,11921,13706
04/01/2017 00:00:00,0,1543
03/01/2017 00:00:00,54813,77374
02/01/2017 00:00:00,135050,189012
01/01/2017 00:00:00,0,1535
