Date,TotalBuy,TotalSell
06/01/2023 00:00:00,251014,60142
04/01/2023 00:00:00,238940,393599
01/01/2023 00:00:00,820,540
09/01/2022 00:00:00,71956,1373
08/01/2022 00:00:00,16855,35116
07/01/2022 00:00:00,39513,68630
06/01/2022 00:00:00,227768,6036
05/01/2022 00:00:00,198675,198675
04/01/2022 00:00:00,4720,8440
01/01/2022 00:00:00,300000,596486
12/01/2021 00:00:00,2216,5527
09/01/2021 00:00:00,28109,0
07/01/2021 00:00:00,16911,33146
06/01/2021 00:00:00,225000,32010
05/01/2021 00:00:00,70990,159366
04/01/2021 00:00:00,176200,278200
03/01/2021 00:00:00,0,10000
02/01/2021 00:00:00,4500,7500
01/01/2021 00:00:00,0,75359
12/01/2020 00:00:00,14432,16218
11/01/2020 00:00:00,15028,31296
10/01/2020 00:00:00,55262,103592
09/01/2020 00:00:00,99640,134656
08/01/2020 00:00:00,18170,31751
07/01/2020 00:00:00,62164,105001
06/01/2020 00:00:00,625300,0
05/01/2020 00:00:00,195500,351250
03/01/2020 00:00:00,34385,48214
12/01/2019 00:00:00,10000,0
11/01/2019 00:00:00,5000,0
10/01/2019 00:00:00,5000,0
09/01/2019 00:00:00,69849,3700
07/01/2019 00:00:00,36580,69960
06/01/2019 00:00:00,497952,1947
05/01/2019 00:00:00,7000,7000
04/01/2019 00:00:00,278750,434500
03/01/2019 00:00:00,38980,68980
02/01/2019 00:00:00,2300,4600
01/01/2019 00:00:00,8446,69892
12/01/2018 00:00:00,22230,21730
10/01/2018 00:00:00,1000,42
09/01/2018 00:00:00,34980,5560
08/01/2018 00:00:00,832,832
07/01/2018 00:00:00,223,223
06/01/2018 00:00:00,270555,0
04/01/2018 00:00:00,208550,336950
03/01/2018 00:00:00,1343,0
02/01/2018 00:00:00,1610,1530
01/01/2018 00:00:00,59226,258476
12/01/2017 00:00:00,24100,57103
11/01/2017 00:00:00,7960,15670
10/01/2017 00:00:00,11150,28220
09/01/2017 00:00:00,76820,75369
07/01/2017 00:00:00,6185,6608
06/01/2017 00:00:00,401563,151230
05/01/2017 00:00:00,176972,311972
