Date,TotalBuy,TotalSell
05/01/2023 00:00:00,85908,221
03/01/2023 00:00:00,0,23520
02/01/2023 00:00:00,750686,264407
01/01/2023 00:00:00,1900,74157
11/01/2022 00:00:00,500,0
10/01/2022 00:00:00,0,29600
09/01/2022 00:00:00,850,0
08/01/2022 00:00:00,4000,51167
07/01/2022 00:00:00,800,0
05/01/2022 00:00:00,76977,0
04/01/2022 00:00:00,651210,492670
02/01/2022 00:00:00,225856,86359
01/01/2022 00:00:00,110704,154374
10/01/2021 00:00:00,800,0
07/01/2021 00:00:00,3627,0
05/01/2021 00:00:00,72224,183
04/01/2021 00:00:00,589682,495123
01/01/2021 00:00:00,103726,144756
12/01/2020 00:00:00,3000,0
10/01/2020 00:00:00,4000,0
09/01/2020 00:00:00,300,0
07/01/2020 00:00:00,2500,0
05/01/2020 00:00:00,185503,0
04/01/2020 00:00:00,248943,224903
03/01/2020 00:00:00,374838,0
02/01/2020 00:00:00,1000,0
01/01/2020 00:00:00,2500,0
12/01/2019 00:00:00,15103.510999999999,0
10/01/2019 00:00:00,500,0
08/01/2019 00:00:00,7800,0
07/01/2019 00:00:00,500,0
05/01/2019 00:00:00,56980,0
04/01/2019 00:00:00,316362,149497
02/01/2019 00:00:00,3000,2900
01/01/2019 00:00:00,292030,127415
12/01/2018 00:00:00,21119.8457,0
11/01/2018 00:00:00,5500,0
10/01/2018 00:00:00,30500,0
08/01/2018 00:00:00,2000,7650
07/01/2018 00:00:00,1500,0
05/01/2018 00:00:00,122960,0
04/01/2018 00:00:00,179906,75516
02/01/2018 00:00:00,12000,3300
01/01/2018 00:00:00,4600,0
11/01/2017 00:00:00,18656.9676,0
10/01/2017 00:00:00,1556,1556
09/01/2017 00:00:00,1094.74,0
08/01/2017 00:00:00,3657.2919,7000
07/01/2017 00:00:00,0,3000
05/01/2017 00:00:00,45140,0
