Date,TotalBuy,TotalSell
06/01/2023 00:00:00,324164,43788
05/01/2023 00:00:00,26700,50488
04/01/2023 00:00:00,11700,35488
03/01/2023 00:00:00,26700,76571
02/01/2023 00:00:00,151629,324989
01/01/2023 00:00:00,2451986,655010
12/01/2022 00:00:00,5485,32785
11/01/2022 00:00:00,5470,32754
10/01/2022 00:00:00,5470,38264
09/01/2022 00:00:00,5470,37151
08/01/2022 00:00:00,5470,60997
07/01/2022 00:00:00,5470,32754
06/01/2022 00:00:00,481162,70152
05/01/2022 00:00:00,30000,81814
04/01/2022 00:00:00,0,21486
03/01/2022 00:00:00,318513,36880
01/01/2022 00:00:00,2023949,385268
12/01/2021 00:00:00,13515,103371
11/01/2021 00:00:00,64689,134197
10/01/2021 00:00:00,34015,78040
09/01/2021 00:00:00,44178,92856
08/01/2021 00:00:00,66528,150101
07/01/2021 00:00:00,1500,14885
06/01/2021 00:00:00,551802,1404166
05/01/2021 00:00:00,56253,54162
04/01/2021 00:00:00,246949,80871
03/01/2021 00:00:00,50642,101937
02/01/2021 00:00:00,34014,80210
01/01/2021 00:00:00,1009796,357983
12/01/2020 00:00:00,127491,318871
11/01/2020 00:00:00,56188,119276
10/01/2020 00:00:00,231200,463810
09/01/2020 00:00:00,50346,107592
08/01/2020 00:00:00,110629,177551
07/01/2020 00:00:00,452958,909571
06/01/2020 00:00:00,268298,178077
05/01/2020 00:00:00,32500,112258
04/01/2020 00:00:00,155022,97258
03/01/2020 00:00:00,30000,77680
02/01/2020 00:00:00,83100,200820
01/01/2020 00:00:00,2268968,604866
12/01/2019 00:00:00,40000,166550
11/01/2019 00:00:00,80000,160000
10/01/2019 00:00:00,0,21396
09/01/2019 00:00:00,20000,40000
08/01/2019 00:00:00,24945,40000
07/01/2019 00:00:00,20000,40000
06/01/2019 00:00:00,264359,55205
05/01/2019 00:00:00,20000,40000
04/01/2019 00:00:00,256585,140000
03/01/2019 00:00:00,20000,40502
02/01/2019 00:00:00,90000,180000
01/01/2019 00:00:00,1759341,417974
10/01/2018 00:00:00,180854,20000
09/01/2018 00:00:00,694205,0
07/01/2018 00:00:00,25000,40000
06/01/2018 00:00:00,83951,25000
05/01/2018 00:00:00,15000,55000
04/01/2018 00:00:00,25000,100000
03/01/2018 00:00:00,557726,43798
01/01/2018 00:00:00,823814,274081
12/01/2017 00:00:00,148970,292940
10/01/2017 00:00:00,1154254,2303508
09/01/2017 00:00:00,2790,2790
08/01/2017 00:00:00,3000,0
07/01/2017 00:00:00,1500000,0
06/01/2017 00:00:00,195978,42422
05/01/2017 00:00:00,0,59828
03/01/2017 00:00:00,0,49050
02/01/2017 00:00:00,0,25000
01/01/2017 00:00:00,388586,25000
