Date,TotalBuy,TotalSell
06/01/2023 00:00:00,52132,363149
03/01/2023 00:00:00,276393,67312
02/01/2023 00:00:00,2000000,8000000
01/01/2023 00:00:00,0,799105
12/01/2022 00:00:00,0,29811
11/01/2022 00:00:00,0,10480
10/01/2022 00:00:00,1551,0
09/01/2022 00:00:00,0,18111
08/01/2022 00:00:00,507699,5520
06/01/2022 00:00:00,43016,788951
05/01/2022 00:00:00,0,117216
03/01/2022 00:00:00,488255,66258
01/01/2022 00:00:00,0,732524
12/01/2021 00:00:00,201186,317596
09/01/2021 00:00:00,4438231,0
08/01/2021 00:00:00,4251047,10469750
07/01/2021 00:00:00,0,5000
06/01/2021 00:00:00,6858,168933
05/01/2021 00:00:00,2102142,5177577
04/01/2021 00:00:00,1050023,2586206
03/01/2021 00:00:00,4103549,4956926
12/01/2020 00:00:00,9220568,22660895
10/01/2020 00:00:00,1473070,3628171
09/01/2020 00:00:00,7856373,19350247
06/01/2020 00:00:00,5331183,0
