Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,100000
03/01/2023 00:00:00,56589,0
02/01/2023 00:00:00,0,72207
11/01/2022 00:00:00,39060,0
09/01/2022 00:00:00,8225,0
08/01/2022 00:00:00,2133165,976420
03/01/2022 00:00:00,5649,0
11/01/2021 00:00:00,28752,1700000
09/01/2021 00:00:00,5429,119035
08/01/2021 00:00:00,1556637,546274
06/01/2021 00:00:00,560884,852020
04/01/2021 00:00:00,8068,0
03/01/2021 00:00:00,500000,0
11/01/2020 00:00:00,38025,0
10/01/2020 00:00:00,10018,0
09/01/2020 00:00:00,0,70000
08/01/2020 00:00:00,2838224,1808940
06/01/2020 00:00:00,914212,1276881
05/01/2020 00:00:00,9166,9166
04/01/2020 00:00:00,25439,0
12/01/2019 00:00:00,0,17000
11/01/2019 00:00:00,28490,0
10/01/2019 00:00:00,18325,0
09/01/2019 00:00:00,33877,50674
08/01/2019 00:00:00,1740535,0
06/01/2019 00:00:00,1214977,600000
03/01/2019 00:00:00,624189413,620502021
