Date,TotalBuy,TotalSell
06/01/2023 00:00:00,7481,3583
05/01/2023 00:00:00,9562,8128
03/01/2023 00:00:00,34450,0
02/01/2023 00:00:00,20914,16109
01/01/2023 00:00:00,0,7500
12/01/2022 00:00:00,0,7500
09/01/2022 00:00:00,0,275
08/01/2022 00:00:00,0,20710
07/01/2022 00:00:00,0,5849
05/01/2022 00:00:00,10523,12486
02/01/2022 00:00:00,33336,4522
12/01/2021 00:00:00,0,9500
10/01/2021 00:00:00,0,10647
08/01/2021 00:00:00,0,2718
07/01/2021 00:00:00,0,5339
06/01/2021 00:00:00,0,624
05/01/2021 00:00:00,7596,18061
03/01/2021 00:00:00,80000,164264
02/01/2021 00:00:00,30410,0
01/01/2021 00:00:00,372,6407
12/01/2020 00:00:00,60000,120000
11/01/2020 00:00:00,0,1854
10/01/2020 00:00:00,0,524
08/01/2020 00:00:00,120000,350364
07/01/2020 00:00:00,1638,6233
05/01/2020 00:00:00,13009,14194
04/01/2020 00:00:00,88627,0
03/01/2020 00:00:00,2000,0
02/01/2020 00:00:00,55567,20586
11/01/2019 00:00:00,30000,72794
10/01/2019 00:00:00,0,514
09/01/2019 00:00:00,50000,147250
08/01/2019 00:00:00,31838,21044
07/01/2019 00:00:00,0,11491
06/01/2019 00:00:00,0,10220
05/01/2019 00:00:00,41484,165752
04/01/2019 00:00:00,0,17000
03/01/2019 00:00:00,145122,338517
02/01/2019 00:00:00,55713,35507
12/01/2018 00:00:00,0,18201
09/01/2018 00:00:00,60000,170485
08/01/2018 00:00:00,16310,46401
07/01/2018 00:00:00,47500,81445
06/01/2018 00:00:00,3500,17853
05/01/2018 00:00:00,7562,18419
04/01/2018 00:00:00,49000,1084
02/01/2018 00:00:00,65050,41801
12/01/2017 00:00:00,161805,412462
10/01/2017 00:00:00,18580,37160
08/01/2017 00:00:00,16588,119458
07/01/2017 00:00:00,148088,0
06/01/2017 00:00:00,1349,26705
