Date,TotalBuy,TotalSell
06/01/2023 00:00:00,934956,1138236
05/01/2023 00:00:00,4769289,134823
04/01/2023 00:00:00,2606,3508
03/01/2023 00:00:00,911657,1140693
02/01/2023 00:00:00,91025,128629
01/01/2023 00:00:00,2606,3669
12/01/2022 00:00:00,856600,1138292
11/01/2022 00:00:00,91025,141362
10/01/2022 00:00:00,2606,3508
09/01/2022 00:00:00,2399625,1026376
08/01/2022 00:00:00,97164,135002
07/01/2022 00:00:00,2606,3508
06/01/2022 00:00:00,4099087,1026380
04/01/2022 00:00:00,62500,93488
03/01/2022 00:00:00,874287,1118043
01/01/2022 00:00:00,65100,130200
12/01/2021 00:00:00,1319220,5103369
11/01/2021 00:00:00,340198,675396
10/01/2021 00:00:00,90000,203506
09/01/2021 00:00:00,2612776,3985800
08/01/2021 00:00:00,694427,75900
07/01/2021 00:00:00,1328185,2638958
06/01/2021 00:00:00,2023735,3771892
05/01/2021 00:00:00,597806,261865
04/01/2021 00:00:00,133750,280987
03/01/2021 00:00:00,2916837,6402400
01/01/2021 00:00:00,62500,89982
12/01/2020 00:00:00,1753864,4783856
11/01/2020 00:00:00,3833141,3833141
10/01/2020 00:00:00,1000000,0
09/01/2020 00:00:00,164546353,147630437
