Date,TotalBuy,TotalSell
06/01/2023 00:00:00,2500,35
05/01/2023 00:00:00,148208,150734
04/01/2023 00:00:00,1263,0
03/01/2023 00:00:00,1600,0
02/01/2023 00:00:00,0,3132
01/01/2023 00:00:00,1210,0
11/01/2022 00:00:00,23030,40403
10/01/2022 00:00:00,1248,63
07/01/2022 00:00:00,1455,0
06/01/2022 00:00:00,0,400
05/01/2022 00:00:00,129825,61404
04/01/2022 00:00:00,1507,0
03/01/2022 00:00:00,10985,21404
02/01/2022 00:00:00,0,3024
01/01/2022 00:00:00,1386,0
12/01/2021 00:00:00,17369,32881
10/01/2021 00:00:00,1594,75
08/01/2021 00:00:00,2000,0
07/01/2021 00:00:00,1524,0
05/01/2021 00:00:00,94060,73741
04/01/2021 00:00:00,59613,82371
03/01/2021 00:00:00,10302,19272
02/01/2021 00:00:00,3681,9577
01/01/2021 00:00:00,32809,91641
12/01/2020 00:00:00,95585,90261
11/01/2020 00:00:00,15493,44073
10/01/2020 00:00:00,3762,0
09/01/2020 00:00:00,63,0
08/01/2020 00:00:00,315,54
07/01/2020 00:00:00,1127,0
06/01/2020 00:00:00,161,0
05/01/2020 00:00:00,125909,0
04/01/2020 00:00:00,14701,3557
03/01/2020 00:00:00,5000,0
02/01/2020 00:00:00,354,11
01/01/2020 00:00:00,955,0
12/01/2019 00:00:00,26057,13617
11/01/2019 00:00:00,248,1000
10/01/2019 00:00:00,1113,122
08/01/2019 00:00:00,292,650
07/01/2019 00:00:00,1127,0
05/01/2019 00:00:00,92180,0
04/01/2019 00:00:00,11123,3041
03/01/2019 00:00:00,45111,122267
02/01/2019 00:00:00,82240,225052
01/01/2019 00:00:00,1020,0
12/01/2018 00:00:00,29559,15634
11/01/2018 00:00:00,760,0
10/01/2018 00:00:00,1048,0
08/01/2018 00:00:00,260,0
07/01/2018 00:00:00,1146,512
06/01/2018 00:00:00,0,200
05/01/2018 00:00:00,72562,3693
04/01/2018 00:00:00,9522,2407
03/01/2018 00:00:00,51,0
02/01/2018 00:00:00,208,0
01/01/2018 00:00:00,21118,55087
12/01/2017 00:00:00,18078,9476
11/01/2017 00:00:00,227,0
10/01/2017 00:00:00,1032,0
09/01/2017 00:00:00,217,27
08/01/2017 00:00:00,199,0
07/01/2017 00:00:00,1028,0
05/01/2017 00:00:00,16080,5320
04/01/2017 00:00:00,176522,4107
03/01/2017 00:00:00,32,3000
02/01/2017 00:00:00,16,0
