Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,13100
05/01/2023 00:00:00,0,186
03/01/2023 00:00:00,0,1500
02/01/2023 00:00:00,16613,11940
01/01/2023 00:00:00,8816,42500
12/01/2022 00:00:00,26322,25360
11/01/2022 00:00:00,0,26175
10/01/2022 00:00:00,0,30000
07/01/2022 00:00:00,26735,34813
06/01/2022 00:00:00,0,3500
05/01/2022 00:00:00,0,910.3192
03/01/2022 00:00:00,69848.0742,86851.0742
02/01/2022 00:00:00,33438,33087
01/01/2022 00:00:00,55416,18972
12/01/2021 00:00:00,0,31576
11/01/2021 00:00:00,0,24649
06/01/2021 00:00:00,0,20000
03/01/2021 00:00:00,1069,49003
02/01/2021 00:00:00,45724,27551
01/01/2021 00:00:00,11032,0
12/01/2020 00:00:00,0,33000
11/01/2020 00:00:00,0,16356
08/01/2020 00:00:00,2067,27803
06/01/2020 00:00:00,1500,0
02/01/2020 00:00:00,67044,47745
01/01/2020 00:00:00,15952,0
12/01/2019 00:00:00,0,55000
11/01/2019 00:00:00,0,47
10/01/2019 00:00:00,0,78418
09/01/2019 00:00:00,131035.465,162894.465
08/01/2019 00:00:00,918,0
07/01/2019 00:00:00,106200.466,125400.466
06/01/2019 00:00:00,0,5000
05/01/2019 00:00:00,0,235
04/01/2019 00:00:00,0,2500
03/01/2019 00:00:00,0,4005
02/01/2019 00:00:00,101029,25264
01/01/2019 00:00:00,28504,0
11/01/2018 00:00:00,0,94
09/01/2018 00:00:00,1614,14822
08/01/2018 00:00:00,0,48700
05/01/2018 00:00:00,0,470
02/01/2018 00:00:00,100471,29129
01/01/2018 00:00:00,18480,158258
12/01/2017 00:00:00,0,54391
11/01/2017 00:00:00,0,13748
10/01/2017 00:00:00,0,46700
09/01/2017 00:00:00,0,10000
05/01/2017 00:00:00,19083,25484
03/01/2017 00:00:00,25440,7446
02/01/2017 00:00:00,33665,5035
