Date,TotalBuy,TotalSell
07/01/2023 00:00:00,0,1220
06/01/2023 00:00:00,52691,0
04/01/2023 00:00:00,26442,6434
02/01/2023 00:00:00,328690,60633
12/01/2022 00:00:00,3400,16400
11/01/2022 00:00:00,5247,6043
10/01/2022 00:00:00,752,0
09/01/2022 00:00:00,0,23881
08/01/2022 00:00:00,10109,54961
07/01/2022 00:00:00,8114,0
06/01/2022 00:00:00,0,16252
05/01/2022 00:00:00,10728,10728
04/01/2022 00:00:00,16462,500
03/01/2022 00:00:00,53788,54288
02/01/2022 00:00:00,374826,60015
01/01/2022 00:00:00,0,500
12/01/2021 00:00:00,0,39818
11/01/2021 00:00:00,1000,500
10/01/2021 00:00:00,0,500
09/01/2021 00:00:00,0,500
08/01/2021 00:00:00,254775,78025
07/01/2021 00:00:00,0,500
06/01/2021 00:00:00,0,13411
05/01/2021 00:00:00,14375,14375
04/01/2021 00:00:00,10508,500
03/01/2021 00:00:00,43423,85052
02/01/2021 00:00:00,471466,371836
01/01/2021 00:00:00,0,500
12/01/2020 00:00:00,13376,53958
11/01/2020 00:00:00,72268,217492
10/01/2020 00:00:00,0,500
09/01/2020 00:00:00,7224,14948
08/01/2020 00:00:00,1624,3248
07/01/2020 00:00:00,46500,47000
06/01/2020 00:00:00,26449,36938
05/01/2020 00:00:00,23574,63966
04/01/2020 00:00:00,13586,694
03/01/2020 00:00:00,285867,225905
02/01/2020 00:00:00,369812,372682
01/01/2020 00:00:00,0,600
12/01/2019 00:00:00,33565,121278
11/01/2019 00:00:00,14360,22354
10/01/2019 00:00:00,2278,600
09/01/2019 00:00:00,1919638,72312
08/01/2019 00:00:00,10980,34084
07/01/2019 00:00:00,68426,34831
06/01/2019 00:00:00,0,11701
05/01/2019 00:00:00,0,5550
04/01/2019 00:00:00,8836,10050
03/01/2019 00:00:00,159666,387236
02/01/2019 00:00:00,144718,24273
01/01/2019 00:00:00,0,4300
12/01/2018 00:00:00,0,4300
11/01/2018 00:00:00,0,4300
10/01/2018 00:00:00,0,4425
09/01/2018 00:00:00,36858,172909
08/01/2018 00:00:00,0,4200
07/01/2018 00:00:00,158276,85638
06/01/2018 00:00:00,73937,38113
05/01/2018 00:00:00,8448,27551
04/01/2018 00:00:00,11329,7527
03/01/2018 00:00:00,11960,37663
02/01/2018 00:00:00,242646,54077
01/01/2018 00:00:00,0,7200
12/01/2017 00:00:00,0,7200
11/01/2017 00:00:00,0,7200
10/01/2017 00:00:00,399068,98317
09/01/2017 00:00:00,0,9400
08/01/2017 00:00:00,260208,264546
07/01/2017 00:00:00,0,36916
06/01/2017 00:00:00,0,193395
