Date,TotalBuy,TotalSell
06/01/2023 00:00:00,13931826,21878459
05/01/2023 00:00:00,715366,6582
04/01/2023 00:00:00,0,3900
03/01/2023 00:00:00,896707,7010449
02/01/2023 00:00:00,0,6832
01/01/2023 00:00:00,7148,17554
12/01/2022 00:00:00,1909920,3869432
11/01/2022 00:00:00,701125,6832
10/01/2022 00:00:00,7148,914060
09/01/2022 00:00:00,2473681,4951444
08/01/2022 00:00:00,505359,3222848
07/01/2022 00:00:00,12911659,15880274
06/01/2022 00:00:00,441089,420
05/01/2022 00:00:00,24595336,26761063
04/01/2022 00:00:00,14931200,14931200
03/01/2022 00:00:00,5819677,5802860
02/01/2022 00:00:00,48360,48360
12/01/2021 00:00:00,26365245,23586142
10/01/2021 00:00:00,96444794,96669494
