Date,TotalBuy,TotalSell
05/01/2023 00:00:00,990,133
04/01/2023 00:00:00,1776,0
03/01/2023 00:00:00,8275,0
02/01/2023 00:00:00,22794,8471
01/01/2023 00:00:00,39132,5870
11/01/2022 00:00:00,0,308
10/01/2022 00:00:00,774,0
08/01/2022 00:00:00,3460,0
07/01/2022 00:00:00,948,0
05/01/2022 00:00:00,600,548
04/01/2022 00:00:00,1144,0
03/01/2022 00:00:00,0,381
02/01/2022 00:00:00,19282,7994
01/01/2022 00:00:00,42526,2454
12/01/2021 00:00:00,0,25609
10/01/2021 00:00:00,1000,0
09/01/2021 00:00:00,2250,4500
08/01/2021 00:00:00,399,0
07/01/2021 00:00:00,845,268
04/01/2021 00:00:00,855,0
03/01/2021 00:00:00,0,252
02/01/2021 00:00:00,5900,2449
01/01/2021 00:00:00,46995,0
12/01/2020 00:00:00,0,7713
11/01/2020 00:00:00,2850,12541
10/01/2020 00:00:00,1735,0
07/01/2020 00:00:00,2665,269
05/01/2020 00:00:00,0,4008
04/01/2020 00:00:00,6622,0
03/01/2020 00:00:00,10000,254
02/01/2020 00:00:00,4695,1799
01/01/2020 00:00:00,73301,6818
11/01/2019 00:00:00,471,0
10/01/2019 00:00:00,2484,118
08/01/2019 00:00:00,51753,0
07/01/2019 00:00:00,1980,363
05/01/2019 00:00:00,323,92
04/01/2019 00:00:00,1650,71
03/01/2019 00:00:00,362,826
02/01/2019 00:00:00,8670,8873
01/01/2019 00:00:00,44614,1385
12/01/2018 00:00:00,47400,0
10/01/2018 00:00:00,1914,82
07/01/2018 00:00:00,11148,102
05/01/2018 00:00:00,396,0
04/01/2018 00:00:00,3045,255
02/01/2018 00:00:00,0,435
01/01/2018 00:00:00,110682,10288
11/01/2017 00:00:00,18950,18950
10/01/2017 00:00:00,4452,373
08/01/2017 00:00:00,0,2125
07/01/2017 00:00:00,4529,380
05/01/2017 00:00:00,18300,18300
04/01/2017 00:00:00,4977,417
02/01/2017 00:00:00,15236,6307
01/01/2017 00:00:00,18100,3991
