Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,660
05/01/2023 00:00:00,0,1046
03/01/2023 00:00:00,0,10000
02/01/2023 00:00:00,72123,17400
01/01/2023 00:00:00,974,0
08/01/2022 00:00:00,965,0
06/01/2022 00:00:00,23464,348
05/01/2022 00:00:00,0,22000
02/01/2022 00:00:00,61473,19219
12/01/2021 00:00:00,496,37850
10/01/2021 00:00:00,3658,0
08/01/2021 00:00:00,2365,0
06/01/2021 00:00:00,18920,0
05/01/2021 00:00:00,3220,3400
02/01/2021 00:00:00,85151,36782
06/01/2020 00:00:00,27730,5000
03/01/2020 00:00:00,1718654,60742
02/01/2020 00:00:00,170750,95300
10/01/2019 00:00:00,764,0
09/01/2019 00:00:00,0,2800
08/01/2019 00:00:00,5700,11400
06/01/2019 00:00:00,34440,11480
03/01/2019 00:00:00,2500,5500
02/01/2019 00:00:00,71127,42845
12/01/2018 00:00:00,0,488
06/01/2018 00:00:00,40810,17490
05/01/2018 00:00:00,0,10400
03/01/2018 00:00:00,1000,9300
02/01/2018 00:00:00,31416,50730
01/01/2018 00:00:00,44853,0
12/01/2017 00:00:00,36342.799,37642.799
11/01/2017 00:00:00,0,5500
06/01/2017 00:00:00,27792,9264
