Date,TotalBuy,TotalSell
06/01/2023 00:00:00,17895,27868
05/01/2023 00:00:00,9308,0
03/01/2023 00:00:00,4641,6802
02/01/2023 00:00:00,243699,531079
01/01/2023 00:00:00,0,442500
12/01/2022 00:00:00,0,248908
11/01/2022 00:00:00,0,83014
09/01/2022 00:00:00,28.64,0
06/01/2022 00:00:00,245.1793,0
05/01/2022 00:00:00,11285,0
03/01/2022 00:00:00,157.1437,0
02/01/2022 00:00:00,89976,39093
12/01/2021 00:00:00,285,0
11/01/2021 00:00:00,4.059,192872
10/01/2021 00:00:00,0,280337
08/01/2021 00:00:00,1799,788
06/01/2021 00:00:00,11793,15242
05/01/2021 00:00:00,11620,36791
03/01/2021 00:00:00,48274,20246
02/01/2021 00:00:00,30680,10674
12/01/2020 00:00:00,71830,140352
11/01/2020 00:00:00,226,1261
09/01/2020 00:00:00,7014,3355
08/01/2020 00:00:00,279,48
05/01/2020 00:00:00,64051,1431
03/01/2020 00:00:00,72896,29048
02/01/2020 00:00:00,76246,103717
11/01/2019 00:00:00,10930,0
09/01/2019 00:00:00,0,1330
08/01/2019 00:00:00,3429,22740
05/01/2019 00:00:00,30200,0
03/01/2019 00:00:00,45405,22345
02/01/2019 00:00:00,42951,0
12/01/2018 00:00:00,0,264
11/01/2018 00:00:00,11338,0
09/01/2018 00:00:00,0,1498
08/01/2018 00:00:00,1581,0
06/01/2018 00:00:00,22264,0
05/01/2018 00:00:00,19948,1786
04/01/2018 00:00:00,0,1038
03/01/2018 00:00:00,23356,0
02/01/2018 00:00:00,19304,0
12/01/2017 00:00:00,0,1324
11/01/2017 00:00:00,2139,0
09/01/2017 00:00:00,12886,280
08/01/2017 00:00:00,189601,8
06/01/2017 00:00:00,11,0
05/01/2017 00:00:00,34088,0
03/01/2017 00:00:00,49934,0
02/01/2017 00:00:00,838,0
12/01/2016 00:00:00,0,1283
11/01/2016 00:00:00,1443,0
09/01/2016 00:00:00,0,280
08/01/2016 00:00:00,35316,0
