Date,TotalBuy,TotalSell
06/01/2023 00:00:00,45800,91600
04/01/2023 00:00:00,0,6000
03/01/2023 00:00:00,16736.02,5200
02/01/2023 00:00:00,287502,0
12/01/2022 00:00:00,307996,52359
09/01/2022 00:00:00,67625.39,66112
08/01/2022 00:00:00,0,13870
06/01/2022 00:00:00,13644,18935
05/01/2022 00:00:00,0,959.552
03/01/2022 00:00:00,1331264.5,278324.88300000003
02/01/2022 00:00:00,284304,0
01/01/2022 00:00:00,21200,35096
12/01/2021 00:00:00,436640,43418
09/01/2021 00:00:00,7218.75,0
07/01/2021 00:00:00,16000,38600
06/01/2021 00:00:00,148253,182491
05/01/2021 00:00:00,123425,226684
04/01/2021 00:00:00,0,6000
03/01/2021 00:00:00,93433.425,180277.66700000002
02/01/2021 00:00:00,468310,349000
01/01/2021 00:00:00,13200,18962
12/01/2020 00:00:00,407888.801,29138
11/01/2020 00:00:00,193.328,355
10/01/2020 00:00:00,10000,15271
09/01/2020 00:00:00,144228.78,282289.217
08/01/2020 00:00:00,0,100
06/01/2020 00:00:00,242300,452391
05/01/2020 00:00:00,0,100
04/01/2020 00:00:00,136287,254832
03/01/2020 00:00:00,256558.81,439050
02/01/2020 00:00:00,279938,5000
01/01/2020 00:00:00,339400,584932
12/01/2019 00:00:00,476121,107752
11/01/2019 00:00:00,1247,275868
10/01/2019 00:00:00,1196720,26940
09/01/2019 00:00:00,132341.9,236025
08/01/2019 00:00:00,20000,31091
06/01/2019 00:00:00,65000,163695
05/01/2019 00:00:00,0,3000
04/01/2019 00:00:00,17500,41125
03/01/2019 00:00:00,273494.88,516905
02/01/2019 00:00:00,380720,1400
01/01/2019 00:00:00,55548,93436
12/01/2018 00:00:00,726942.71,376920
11/01/2018 00:00:00,29876,73074
10/01/2018 00:00:00,6000,10234
09/01/2018 00:00:00,132077.52,226835
08/01/2018 00:00:00,145492,254377
07/01/2018 00:00:00,16000,32000
06/01/2018 00:00:00,126.99,0
05/01/2018 00:00:00,106000,178135
04/01/2018 00:00:00,246000,511484
03/01/2018 00:00:00,24497.36,45492
02/01/2018 00:00:00,417545,0
01/01/2018 00:00:00,16000,23129
12/01/2017 00:00:00,828572.13,16909
11/01/2017 00:00:00,162000,282118
10/01/2017 00:00:00,74400,99214
09/01/2017 00:00:00,139054.58000000002,273114
08/01/2017 00:00:00,60000,95704
07/01/2017 00:00:00,36000,47139
06/01/2017 00:00:00,61.56,1300
05/01/2017 00:00:00,0,206
04/01/2017 00:00:00,81821,179823
