Date,TotalBuy,TotalSell
05/01/2023 00:00:00,287823,0
03/01/2023 00:00:00,30000,45414
12/01/2022 00:00:00,38000,361931
11/01/2022 00:00:00,30000,1117453
10/01/2022 00:00:00,12173,24346
08/01/2022 00:00:00,68971,1114197
07/01/2022 00:00:00,0,368407
06/01/2022 00:00:00,40000,183996
05/01/2022 00:00:00,34333,0
04/01/2022 00:00:00,14471,322517
03/01/2022 00:00:00,44869,2353964
02/01/2022 00:00:00,14500,33059
01/01/2022 00:00:00,34825,69650
12/01/2021 00:00:00,530144,79868
11/01/2021 00:00:00,15727,89268
10/01/2021 00:00:00,20000,40000
09/01/2021 00:00:00,50000,100000
08/01/2021 00:00:00,24950,49900
07/01/2021 00:00:00,50,100
06/01/2021 00:00:00,68900,30000
05/01/2021 00:00:00,52461,0
03/01/2021 00:00:00,290000,0
11/01/2020 00:00:00,9208,0
08/01/2020 00:00:00,40398293,261762179
