Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,8500
05/01/2023 00:00:00,1729.4542,1500
04/01/2023 00:00:00,2535,8500
03/01/2023 00:00:00,6926,33325
02/01/2023 00:00:00,313829.4179,76031
01/01/2023 00:00:00,324,0
12/01/2022 00:00:00,6865,11821
11/01/2022 00:00:00,1705.0599000000002,8928
10/01/2022 00:00:00,334,900
09/01/2022 00:00:00,7865,7164
08/01/2022 00:00:00,13032.581000000002,40000
07/01/2022 00:00:00,366,0
06/01/2022 00:00:00,7690,2006
05/01/2022 00:00:00,1623.3031,0
04/01/2022 00:00:00,12182,0
03/01/2022 00:00:00,6851,1787
02/01/2022 00:00:00,271689.0735,97181
01/01/2022 00:00:00,275,0
12/01/2021 00:00:00,6789.927599999999,11543
11/01/2021 00:00:00,0,3000
10/01/2021 00:00:00,256,0
09/01/2021 00:00:00,7227.7763,1649
08/01/2021 00:00:00,0,30000
07/01/2021 00:00:00,297,0
06/01/2021 00:00:00,6372.1536,1465
05/01/2021 00:00:00,0,28277
04/01/2021 00:00:00,3517,597
03/01/2021 00:00:00,120622.56000000001,286586
02/01/2021 00:00:00,140345,310067
12/01/2020 00:00:00,7377,1972
09/01/2020 00:00:00,10139,2719
08/01/2020 00:00:00,52126,20000
06/01/2020 00:00:00,11076,15470
05/01/2020 00:00:00,5000,0
04/01/2020 00:00:00,0,20564
03/01/2020 00:00:00,14062,45771
02/01/2020 00:00:00,218368,16683
12/01/2019 00:00:00,7998,2145
11/01/2019 00:00:00,11216,0
09/01/2019 00:00:00,21707,8379
06/01/2019 00:00:00,9587,42650
05/01/2019 00:00:00,0,5000
04/01/2019 00:00:00,0,6264
03/01/2019 00:00:00,10998,3040
02/01/2019 00:00:00,310163,116755
12/01/2018 00:00:00,11237,3106
11/01/2018 00:00:00,0,51000
09/01/2018 00:00:00,9504,2627
08/01/2018 00:00:00,0,1500
07/01/2018 00:00:00,7701,2333
05/01/2018 00:00:00,0,78830
04/01/2018 00:00:00,9770,2704
03/01/2018 00:00:00,114626,0
02/01/2018 00:00:00,51701,44157
01/01/2018 00:00:00,7059,2138
12/01/2017 00:00:00,10000,10000
10/01/2017 00:00:00,7029,2129
08/01/2017 00:00:00,10000,254534
07/01/2017 00:00:00,26525,2079
06/01/2017 00:00:00,0,10000
05/01/2017 00:00:00,0,79025
04/01/2017 00:00:00,6008,121852
03/01/2017 00:00:00,0,7500
02/01/2017 00:00:00,166707,79645
01/01/2017 00:00:00,5319,1806
12/01/2016 00:00:00,0,26500
11/01/2016 00:00:00,145.058,1500
