Date,TotalBuy,TotalSell
06/01/2023 00:00:00,2720,65378
05/01/2023 00:00:00,53515,1946
03/01/2023 00:00:00,157572,13511
02/01/2023 00:00:00,44581,4034
01/01/2023 00:00:00,3151,0
12/01/2022 00:00:00,2804215,3709119
11/01/2022 00:00:00,0,27215
09/01/2022 00:00:00,1536,0
07/01/2022 00:00:00,251854,0
06/01/2022 00:00:00,1579,0
05/01/2022 00:00:00,34612,0
03/01/2022 00:00:00,185507,189787
02/01/2022 00:00:00,9341968,0
12/01/2021 00:00:00,2046,0
11/01/2021 00:00:00,2380446,15217635
06/01/2021 00:00:00,213216,522395
12/01/2020 00:00:00,0,15000
06/01/2020 00:00:00,0,71063
05/01/2020 00:00:00,0,55388296
04/01/2020 00:00:00,12019,2252
03/01/2020 00:00:00,11977954,18070
02/01/2020 00:00:00,2067,0
12/01/2019 00:00:00,25070,31396
11/01/2019 00:00:00,6443,0
10/01/2019 00:00:00,0,8209
09/01/2019 00:00:00,5,0
08/01/2019 00:00:00,8767,0
07/01/2019 00:00:00,18662217,16845349
06/01/2019 00:00:00,26575,80588
05/01/2019 00:00:00,79105,7567
04/01/2019 00:00:00,0,1185
03/01/2019 00:00:00,197190,5010192
02/01/2019 00:00:00,5558,0
11/01/2018 00:00:00,5664,0
10/01/2018 00:00:00,90952,487
08/01/2018 00:00:00,15620,0
05/01/2018 00:00:00,118439,0
04/01/2018 00:00:00,22563,7601
03/01/2018 00:00:00,378387,60780
02/01/2018 00:00:00,6138,0
11/01/2017 00:00:00,5512.943,0
10/01/2017 00:00:00,56000,0
09/01/2017 00:00:00,0,3524
08/01/2017 00:00:00,7123,0
05/01/2017 00:00:00,93753,0
