Date,TotalBuy,TotalSell
05/01/2023 00:00:00,7873,7873
04/01/2023 00:00:00,31304,40699
03/01/2023 00:00:00,32630,13404
01/01/2023 00:00:00,747457,812197
12/01/2022 00:00:00,516230,360904
11/01/2022 00:00:00,24842,5503
08/01/2022 00:00:00,745,0
07/01/2022 00:00:00,0,10939
06/01/2022 00:00:00,70020,50762
05/01/2022 00:00:00,58531,158531
04/01/2022 00:00:00,380423,836534
03/01/2022 00:00:00,374029,506575
02/01/2022 00:00:00,59087,164167
01/01/2022 00:00:00,1164236,1204214
12/01/2021 00:00:00,113059,278742
11/01/2021 00:00:00,134565,296137
10/01/2021 00:00:00,111029,111029
09/01/2021 00:00:00,291804,439468
08/01/2021 00:00:00,79455,161895
07/01/2021 00:00:00,256561,188967
06/01/2021 00:00:00,8621,60098
05/01/2021 00:00:00,64896,147821
04/01/2021 00:00:00,192849,358831
03/01/2021 00:00:00,73962,159913
02/01/2021 00:00:00,309546,79327
01/01/2021 00:00:00,2586893,2211275
12/01/2020 00:00:00,14540,129053
11/01/2020 00:00:00,24840,174478
10/01/2020 00:00:00,36000,40460
09/01/2020 00:00:00,65508,81522
08/01/2020 00:00:00,90730,255605
07/01/2020 00:00:00,74831,108844
06/01/2020 00:00:00,10088,80275
05/01/2020 00:00:00,246728,701083
04/01/2020 00:00:00,88784,93179
03/01/2020 00:00:00,7393,9499
02/01/2020 00:00:00,672372,410478
01/01/2020 00:00:00,1799395,1153454
12/01/2019 00:00:00,5860,15482
11/01/2019 00:00:00,111530,26960
10/01/2019 00:00:00,311869,652043
09/01/2019 00:00:00,41014,90947
08/01/2019 00:00:00,133018,325979
07/01/2019 00:00:00,0,13111
06/01/2019 00:00:00,11953,13290
05/01/2019 00:00:00,230290,163144
04/01/2019 00:00:00,7000,10101
03/01/2019 00:00:00,241250,348126
02/01/2019 00:00:00,487694,224264
01/01/2019 00:00:00,1094900,654651
12/01/2018 00:00:00,30717,36488
11/01/2018 00:00:00,458148,866495
09/01/2018 00:00:00,19939,28773
08/01/2018 00:00:00,71406,107244
07/01/2018 00:00:00,5675,7338
06/01/2018 00:00:00,113353,210999
05/01/2018 00:00:00,1776136,190339
04/01/2018 00:00:00,7000,9755
03/01/2018 00:00:00,285025,405310
02/01/2018 00:00:00,2181,3072
01/01/2018 00:00:00,306552,100710
12/01/2017 00:00:00,14310,20098
11/01/2017 00:00:00,4435,6750
10/01/2017 00:00:00,7953,12103
09/01/2017 00:00:00,207461,16021
08/01/2017 00:00:00,222434,26616
07/01/2017 00:00:00,5675,8337
06/01/2017 00:00:00,20000,29140
05/01/2017 00:00:00,454148,156031
04/01/2017 00:00:00,0,9937
