Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,120000
05/01/2023 00:00:00,6538,1197
04/01/2023 00:00:00,7191,21306
03/01/2023 00:00:00,0,199326
02/01/2023 00:00:00,61446,92
08/01/2022 00:00:00,0,2544
07/01/2022 00:00:00,970,0
05/01/2022 00:00:00,5335,0
04/01/2022 00:00:00,2061,7931
02/01/2022 00:00:00,41493,0
01/01/2022 00:00:00,0,200000
12/01/2021 00:00:00,0,75
11/01/2021 00:00:00,0,202500
08/01/2021 00:00:00,0,301450
06/01/2021 00:00:00,0,82600
05/01/2021 00:00:00,4230,17915
04/01/2021 00:00:00,1255,18850
03/01/2021 00:00:00,0,300000
02/01/2021 00:00:00,61013,0
11/01/2020 00:00:00,10596,800
10/01/2020 00:00:00,0,85821
09/01/2020 00:00:00,0,333894
08/01/2020 00:00:00,0,301840
06/01/2020 00:00:00,0,695
05/01/2020 00:00:00,6055,0
04/01/2020 00:00:00,17076,7915
03/01/2020 00:00:00,24600,100500
02/01/2020 00:00:00,82853,100000
12/01/2019 00:00:00,0,51000
11/01/2019 00:00:00,0,30710
10/01/2019 00:00:00,0,50000
09/01/2019 00:00:00,0,20000
08/01/2019 00:00:00,0,10000
07/01/2019 00:00:00,0,50000
06/01/2019 00:00:00,0,80000
05/01/2019 00:00:00,7670,17148
04/01/2019 00:00:00,1140,23980
03/01/2019 00:00:00,0,303500
02/01/2019 00:00:00,46195,0
11/01/2018 00:00:00,0,350000
08/01/2018 00:00:00,0,403336
06/01/2018 00:00:00,7000,85000
05/01/2018 00:00:00,4945,50000
04/01/2018 00:00:00,365862,369613
03/01/2018 00:00:00,0,925
02/01/2018 00:00:00,62806,0
01/01/2018 00:00:00,0,23000
12/01/2017 00:00:00,0,250000
11/01/2017 00:00:00,6373,0
10/01/2017 00:00:00,0,2500
09/01/2017 00:00:00,0,147952
08/01/2017 00:00:00,0,4765
07/01/2017 00:00:00,0,2500
06/01/2017 00:00:00,5940,602390
05/01/2017 00:00:00,0,10000
04/01/2017 00:00:00,57016,9038
03/01/2017 00:00:00,0,66069
02/01/2017 00:00:00,0,172000
01/01/2017 00:00:00,0,33000
12/01/2016 00:00:00,2,2
11/01/2016 00:00:00,0,50350
06/01/2016 00:00:00,136720,136729
