Date,TotalBuy,TotalSell
06/01/2023 00:00:00,6223,13177
05/01/2023 00:00:00,89459,188781
02/01/2023 00:00:00,439509,261706
12/01/2022 00:00:00,0,67654
11/01/2022 00:00:00,1000,35100
09/01/2022 00:00:00,65172,162549
08/01/2022 00:00:00,2000,6100
05/01/2022 00:00:00,87101,162374
04/01/2022 00:00:00,13805,24805
03/01/2022 00:00:00,47570,95140
02/01/2022 00:00:00,504368,331652
12/01/2021 00:00:00,7732,64964
11/01/2021 00:00:00,7340,82640
10/01/2021 00:00:00,0,12418
09/01/2021 00:00:00,89537,260711
08/01/2021 00:00:00,0,3758
07/01/2021 00:00:00,0,1887
05/01/2021 00:00:00,109348,271350
04/01/2021 00:00:00,46492,97427
02/01/2021 00:00:00,605242,450463
01/01/2021 00:00:00,0,1000
12/01/2020 00:00:00,106496,289855
11/01/2020 00:00:00,27435,54026
10/01/2020 00:00:00,0,2946
09/01/2020 00:00:00,19794,58064
08/01/2020 00:00:00,77736,160012
07/01/2020 00:00:00,0,106517
06/01/2020 00:00:00,0,8274
05/01/2020 00:00:00,38551,214690
04/01/2020 00:00:00,0,3991
03/01/2020 00:00:00,0,177982
02/01/2020 00:00:00,748534,372318
01/01/2020 00:00:00,42051,176401
12/01/2019 00:00:00,25937,49195
11/01/2019 00:00:00,2960,73964
10/01/2019 00:00:00,0,10000
09/01/2019 00:00:00,38305,112529
08/01/2019 00:00:00,15000,71896
07/01/2019 00:00:00,48315,117774
06/01/2019 00:00:00,20000,56000
05/01/2019 00:00:00,43998,107908
04/01/2019 00:00:00,36675,74850
03/01/2019 00:00:00,36675,100300
02/01/2019 00:00:00,734492,366634
01/01/2019 00:00:00,37500,75302
12/01/2018 00:00:00,37000,72944
11/01/2018 00:00:00,54578,116356
10/01/2018 00:00:00,35000,76000
09/01/2018 00:00:00,84623,198014
08/01/2018 00:00:00,35000,150000
07/01/2018 00:00:00,45298,97861
06/01/2018 00:00:00,46420,84815
05/01/2018 00:00:00,170343,335131
04/01/2018 00:00:00,54660,104660
03/01/2018 00:00:00,14518,27961
02/01/2018 00:00:00,803892,449257
01/01/2018 00:00:00,29798,63601
12/01/2017 00:00:00,16223,25000
11/01/2017 00:00:00,12500,25000
10/01/2017 00:00:00,32230,88212
09/01/2017 00:00:00,12500,25000
08/01/2017 00:00:00,12500,105420
07/01/2017 00:00:00,15000,30000
06/01/2017 00:00:00,15000,70000
05/01/2017 00:00:00,46605,120799
04/01/2017 00:00:00,37800,84000
03/01/2017 00:00:00,27470,74125
02/01/2017 00:00:00,22120,111270
