Date,TotalBuy,TotalSell
06/01/2023 00:00:00,19026,4486.961299999999
05/01/2023 00:00:00,0,4316
04/01/2023 00:00:00,1268.9097000000002,11299.745
03/01/2023 00:00:00,122303.4138,55916.732200000006
02/01/2023 00:00:00,12518,27944
01/01/2023 00:00:00,1295.8118,0
11/01/2022 00:00:00,0,450.1269
10/01/2022 00:00:00,1836.1652,0
09/01/2022 00:00:00,2679,0
08/01/2022 00:00:00,0,57927
07/01/2022 00:00:00,1106.3981,0
06/01/2022 00:00:00,17262,4026.8151999999995
04/01/2022 00:00:00,1397.5108,10721.4155
03/01/2022 00:00:00,131063.9022,36354.7625
01/01/2022 00:00:00,1024.8256000000001,0
11/01/2021 00:00:00,3787,2000
10/01/2021 00:00:00,233549.1841,34593.9727
07/01/2021 00:00:00,759.7047000000001,0
06/01/2021 00:00:00,15464,5144.6320000000005
04/01/2021 00:00:00,71776.1902,0
03/01/2021 00:00:00,71417,107126.1325
01/01/2021 00:00:00,687.9978000000001,0
10/01/2020 00:00:00,1201.7438999999997,0
07/01/2020 00:00:00,996.7661999999999,7602
06/01/2020 00:00:00,51842,5045.049200000001
04/01/2020 00:00:00,799.6379999999999,0
03/01/2020 00:00:00,62495,2577.778
01/01/2020 00:00:00,31339.7157,53761
10/01/2019 00:00:00,757.8703,0
07/01/2019 00:00:00,639.6201000000001,0
06/01/2019 00:00:00,16206,17055
05/01/2019 00:00:00,0,1.1284
04/01/2019 00:00:00,594.46,0
03/01/2019 00:00:00,196921.65860000002,19397.950699999998
01/01/2019 00:00:00,454.19020000000006,15000
11/01/2018 00:00:00,13083,0
10/01/2018 00:00:00,400.6754,5093
07/01/2018 00:00:00,28516.4454,0
06/01/2018 00:00:00,0,9151.2792
05/01/2018 00:00:00,15496.704400000004,2911
04/01/2018 00:00:00,4850,22315
03/01/2018 00:00:00,64873.926999999996,31749.3507
01/01/2018 00:00:00,454.8951,0
12/01/2017 00:00:00,0,500
11/01/2017 00:00:00,0,5020
10/01/2017 00:00:00,474.79079999999993,2561
09/01/2017 00:00:00,0,500
08/01/2017 00:00:00,0,2294
07/01/2017 00:00:00,389.33670000000006,0
06/01/2017 00:00:00,14568,4578.873599999998
05/01/2017 00:00:00,0,16596
04/01/2017 00:00:00,2451.6684,0
