Date,TotalBuy,TotalSell
04/01/2023 00:00:00,11480036,0
12/01/2022 00:00:00,11441398,0
09/01/2022 00:00:00,10902568,17920
06/01/2022 00:00:00,11020883,0
04/01/2022 00:00:00,9585515,0
12/01/2021 00:00:00,10025231,0
09/01/2021 00:00:00,9481336,15688
06/01/2021 00:00:00,8178390,0
04/01/2021 00:00:00,7850588,0
12/01/2020 00:00:00,8396396,0
10/01/2020 00:00:00,442012,202758
09/01/2020 00:00:00,8528504,0
06/01/2020 00:00:00,8013676,0
12/01/2019 00:00:00,6202053,0
09/01/2019 00:00:00,5513979,0
06/01/2019 00:00:00,5107326,0
04/01/2019 00:00:00,4784706,0
03/01/2019 00:00:00,500,0
12/01/2018 00:00:00,4647788,0
09/01/2018 00:00:00,4400450,0
08/01/2018 00:00:00,200,0
06/01/2018 00:00:00,3950922,0
04/01/2018 00:00:00,4543846,0
12/01/2017 00:00:00,4412903,0
09/01/2017 00:00:00,4209625,0
06/01/2017 00:00:00,4488222,0
04/01/2017 00:00:00,4263677,0
02/01/2017 00:00:00,13074448,2549189
12/01/2016 00:00:00,2926203,0
09/01/2016 00:00:00,3520975,0
06/01/2016 00:00:00,3061112,0
05/01/2016 00:00:00,0,400
04/01/2016 00:00:00,2771575,0
02/01/2016 00:00:00,685367,0
12/01/2015 00:00:00,2482436,0
09/01/2015 00:00:00,2265928,0
06/01/2015 00:00:00,1791781,0
04/01/2015 00:00:00,1682828,0
01/01/2015 00:00:00,0,2000
12/01/2014 00:00:00,3196382,3284
09/01/2014 00:00:00,1370447,0
06/01/2014 00:00:00,1465786,0
04/01/2014 00:00:00,1519516,0
01/01/2014 00:00:00,984914,0
10/01/2013 00:00:00,1436752,0
07/01/2013 00:00:00,1222799,0
04/01/2013 00:00:00,1449573,0
03/01/2013 00:00:00,22900,0
08/01/2012 00:00:00,3288371,0
01/01/2012 00:00:00,12995584,0
09/01/2010 00:00:00,111241,0
