Date,TotalBuy,TotalSell
06/01/2023 00:00:00,3014,500
05/01/2023 00:00:00,19856,13688
04/01/2023 00:00:00,0,240
03/01/2023 00:00:00,218717,3917
02/01/2023 00:00:00,61302,91468
01/01/2023 00:00:00,0,1371
12/01/2022 00:00:00,0,500
11/01/2022 00:00:00,0,10552
10/01/2022 00:00:00,0,738
07/01/2022 00:00:00,0,824
06/01/2022 00:00:00,0,250
05/01/2022 00:00:00,16712,773
04/01/2022 00:00:00,5498,5086
03/01/2022 00:00:00,303681,368
02/01/2022 00:00:00,44382,62803
01/01/2022 00:00:00,0,915
12/01/2021 00:00:00,0,522
11/01/2021 00:00:00,1226,12655
10/01/2021 00:00:00,0,9390
09/01/2021 00:00:00,0,414
08/01/2021 00:00:00,21653,11935
07/01/2021 00:00:00,0,1438
06/01/2021 00:00:00,0,3614
05/01/2021 00:00:00,8634,10654
04/01/2021 00:00:00,0,11245
03/01/2021 00:00:00,0,9114
02/01/2021 00:00:00,141515,93786
01/01/2021 00:00:00,0,14399
12/01/2020 00:00:00,10,18648
11/01/2020 00:00:00,0,23934
10/01/2020 00:00:00,4153,11536
09/01/2020 00:00:00,0,13612
08/01/2020 00:00:00,0,19431
07/01/2020 00:00:00,13180,13074
06/01/2020 00:00:00,0,18502
05/01/2020 00:00:00,8667,19121
04/01/2020 00:00:00,0,12938
03/01/2020 00:00:00,0,7103
02/01/2020 00:00:00,270623,189786
01/01/2020 00:00:00,446,1519
12/01/2019 00:00:00,0,6495
11/01/2019 00:00:00,0,16801
10/01/2019 00:00:00,9306,8749
09/01/2019 00:00:00,10000,21220
08/01/2019 00:00:00,10000,33214
07/01/2019 00:00:00,10000,30251
06/01/2019 00:00:00,10000,32080
05/01/2019 00:00:00,26682,44843
04/01/2019 00:00:00,1000,11724
03/01/2019 00:00:00,1000,12820
02/01/2019 00:00:00,109221,149091
01/01/2019 00:00:00,5000,21422
12/01/2018 00:00:00,82946,56943
11/01/2018 00:00:00,17000,59280
10/01/2018 00:00:00,11000,31046
09/01/2018 00:00:00,11000,33137
08/01/2018 00:00:00,10000,24732
07/01/2018 00:00:00,7500,21427
06/01/2018 00:00:00,10500,26381
05/01/2018 00:00:00,23311,36984
04/01/2018 00:00:00,3000,7516
03/01/2018 00:00:00,5000,13974
02/01/2018 00:00:00,62950,97480
01/01/2018 00:00:00,7167,42087
12/01/2017 00:00:00,115357,63822
11/01/2017 00:00:00,37336,91088
10/01/2017 00:00:00,40000,83395
09/01/2017 00:00:00,65838,137712
08/01/2017 00:00:00,80800,202941
07/01/2017 00:00:00,30000,64371
06/01/2017 00:00:00,40000,110957
05/01/2017 00:00:00,59423,90210
04/01/2017 00:00:00,3600,8179
03/01/2017 00:00:00,3600,9463
02/01/2017 00:00:00,22077,34277
