Date,TotalBuy,TotalSell
06/01/2023 00:00:00,142907,288438
05/01/2023 00:00:00,335501,5488974
04/01/2023 00:00:00,64000,137230
03/01/2023 00:00:00,64000,134816
02/01/2023 00:00:00,309165,894434
01/01/2023 00:00:00,13903,29406
12/01/2022 00:00:00,58597,117194
11/01/2022 00:00:00,325150,283912
10/01/2022 00:00:00,20000,44025
09/01/2022 00:00:00,0,10000
08/01/2022 00:00:00,177136,111777
05/01/2022 00:00:00,135051,80836
02/01/2022 00:00:00,380265,202172
11/01/2021 00:00:00,49644,0
07/01/2021 00:00:00,21334437,19034437
06/01/2021 00:00:00,84114,0
