Date,TotalBuy,TotalSell
06/01/2023 00:00:00,14805,14805
05/01/2023 00:00:00,0,6458
04/01/2023 00:00:00,18380,25514
02/01/2023 00:00:00,78371,37062
01/01/2023 00:00:00,981602,265158
10/01/2022 00:00:00,2693,2337
09/01/2022 00:00:00,1000,460
08/01/2022 00:00:00,493,1
07/01/2022 00:00:00,237455,82791
06/01/2022 00:00:00,14805,14805
04/01/2022 00:00:00,49017,15152
02/01/2022 00:00:00,3328,0
01/01/2022 00:00:00,909281,239036
11/01/2021 00:00:00,82000,82000
10/01/2021 00:00:00,3971,4116
08/01/2021 00:00:00,1458,0
07/01/2021 00:00:00,254660,76997
06/01/2021 00:00:00,33555,63555
04/01/2021 00:00:00,5667,7627
03/01/2021 00:00:00,0,236
02/01/2021 00:00:00,2038,0
01/01/2021 00:00:00,1015815,358502
12/01/2020 00:00:00,60000,181407
11/01/2020 00:00:00,120180,271360
10/01/2020 00:00:00,3556,6445
09/01/2020 00:00:00,22500,74814
08/01/2020 00:00:00,640,0
07/01/2020 00:00:00,205331,32001
06/01/2020 00:00:00,58556,140470
04/01/2020 00:00:00,22667,0
03/01/2020 00:00:00,0,72390
02/01/2020 00:00:00,1675,3882
01/01/2020 00:00:00,1174391,183466
12/01/2019 00:00:00,34200,88995
11/01/2019 00:00:00,8000,24588
10/01/2019 00:00:00,3556,3556
08/01/2019 00:00:00,22000,44000
07/01/2019 00:00:00,263819,43200
06/01/2019 00:00:00,91221,45000
05/01/2019 00:00:00,16000,8000
04/01/2019 00:00:00,317536,209768
03/01/2019 00:00:00,74268,47134
02/01/2019 00:00:00,251946,312828
01/01/2019 00:00:00,811194,138891
12/01/2018 00:00:00,8126,4063
11/01/2018 00:00:00,93000,46500
10/01/2018 00:00:00,14220,0
09/01/2018 00:00:00,64000,0
08/01/2018 00:00:00,57986,28993
07/01/2018 00:00:00,198067,46158
06/01/2018 00:00:00,78750,30000
05/01/2018 00:00:00,55000,72500
04/01/2018 00:00:00,13962,27924
03/01/2018 00:00:00,9000,6000
02/01/2018 00:00:00,37937,19437
01/01/2018 00:00:00,935637,226370
12/01/2017 00:00:00,16000,32000
11/01/2017 00:00:00,22062,44312
10/01/2017 00:00:00,80829,162465
09/01/2017 00:00:00,1000,2000
07/01/2017 00:00:00,182242,123592
06/01/2017 00:00:00,70,140
05/01/2017 00:00:00,13000,26150
