Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,5820
05/01/2023 00:00:00,7441,1
02/01/2023 00:00:00,226228,70751
11/01/2022 00:00:00,409,1818
08/01/2022 00:00:00,0,2588
07/01/2022 00:00:00,376,0
05/01/2022 00:00:00,7375,0
02/01/2022 00:00:00,274697,63085
12/01/2021 00:00:00,10000,94545
11/01/2021 00:00:00,0,555094
10/01/2021 00:00:00,221,4
09/01/2021 00:00:00,4,0
08/01/2021 00:00:00,0,8446
07/01/2021 00:00:00,241,0
04/01/2021 00:00:00,4933,0
02/01/2021 00:00:00,290070,107303
12/01/2020 00:00:00,63451,100120
11/01/2020 00:00:00,0,50382
10/01/2020 00:00:00,70910,138240
09/01/2020 00:00:00,46080,92160
08/01/2020 00:00:00,129761,206020
07/01/2020 00:00:00,46272,3013973
06/01/2020 00:00:00,184320,368640
05/01/2020 00:00:00,7674,0
03/01/2020 00:00:00,13200,259
02/01/2020 00:00:00,438979,3902590
01/01/2020 00:00:00,25000,62000
12/01/2019 00:00:00,20200,127274
11/01/2019 00:00:00,201,0
09/01/2019 00:00:00,0,3258
08/01/2019 00:00:00,0,3250979
07/01/2019 00:00:00,184,9364
06/01/2019 00:00:00,192000,384000
05/01/2019 00:00:00,151532,188532
04/01/2019 00:00:00,0,1193
03/01/2019 00:00:00,96000,5200660
02/01/2019 00:00:00,404759,302691
12/01/2018 00:00:00,0,7546402
11/01/2018 00:00:00,3252,83170
09/01/2018 00:00:00,225612,3619343
08/01/2018 00:00:00,0,871
07/01/2018 00:00:00,376320,754872
06/01/2018 00:00:00,92160,17790239
05/01/2018 00:00:00,0,815
04/01/2018 00:00:00,10360,815
03/01/2018 00:00:00,15858,3022
02/01/2018 00:00:00,269800,175838
01/01/2018 00:00:00,10000,20000
12/01/2017 00:00:00,56080,227132
11/01/2017 00:00:00,89480,15178606
10/01/2017 00:00:00,56080,112160
09/01/2017 00:00:00,56080,13627035
08/01/2017 00:00:00,139024,11687071
07/01/2017 00:00:00,19032,16073
05/01/2017 00:00:00,18123,15137579
03/01/2017 00:00:00,0,570
02/01/2017 00:00:00,494096,9357420
12/01/2016 00:00:00,0,4479
11/01/2016 00:00:00,2000,4402
10/01/2016 00:00:00,45857233,7331209
09/01/2016 00:00:00,86356,0
06/01/2016 00:00:00,0,24000
