Date,TotalBuy,TotalSell
06/01/2023 00:00:00,36990,30520
05/01/2023 00:00:00,2363,4670
04/01/2023 00:00:00,174112,273975
03/01/2023 00:00:00,0,1253
02/01/2023 00:00:00,266479,269345
01/01/2023 00:00:00,1629,3258
12/01/2022 00:00:00,0,642
11/01/2022 00:00:00,14375,28750
10/01/2022 00:00:00,96400,127703
09/01/2022 00:00:00,6375,12750
08/01/2022 00:00:00,65207,13350
07/01/2022 00:00:00,135000,223412
05/01/2022 00:00:00,363,532
04/01/2022 00:00:00,33349,21114
03/01/2022 00:00:00,0,2000
02/01/2022 00:00:00,167122,99512
01/01/2022 00:00:00,7410,14820
12/01/2021 00:00:00,0,850
11/01/2021 00:00:00,7500,15500
10/01/2021 00:00:00,36492,72984
09/01/2021 00:00:00,5446,10892
08/01/2021 00:00:00,46227,44997
07/01/2021 00:00:00,12492,27727
06/01/2021 00:00:00,21000,38038
05/01/2021 00:00:00,16500,29647
04/01/2021 00:00:00,50463,74760
03/01/2021 00:00:00,0,594
02/01/2021 00:00:00,98335,98486
01/01/2021 00:00:00,13646,27694
12/01/2020 00:00:00,43407,68928
10/01/2020 00:00:00,10679,21358
09/01/2020 00:00:00,1250,2764
08/01/2020 00:00:00,55312,48920
07/01/2020 00:00:00,11704,24516
06/01/2020 00:00:00,24289,42528
05/01/2020 00:00:00,39042,65777
04/01/2020 00:00:00,22720,23914
02/01/2020 00:00:00,118010,174672
01/01/2020 00:00:00,26163,37743
12/01/2019 00:00:00,43240,80477
11/01/2019 00:00:00,91084,97651
10/01/2019 00:00:00,13764,27644
09/01/2019 00:00:00,1171,2342
08/01/2019 00:00:00,27125,475
07/01/2019 00:00:00,63789,108205
06/01/2019 00:00:00,1302,2604
05/01/2019 00:00:00,60833,83696
04/01/2019 00:00:00,15232,9745
03/01/2019 00:00:00,2090,4221
02/01/2019 00:00:00,136301,152004
01/01/2019 00:00:00,10529,10987
12/01/2018 00:00:00,73151,108907
11/01/2018 00:00:00,0,527
10/01/2018 00:00:00,42964,85928
09/01/2018 00:00:00,4722,9504
08/01/2018 00:00:00,125524,179381
07/01/2018 00:00:00,37161,127623
06/01/2018 00:00:00,13155,35643
05/01/2018 00:00:00,38192,52535
04/01/2018 00:00:00,140629,280377
03/01/2018 00:00:00,8324,20758
02/01/2018 00:00:00,200196,286782
01/01/2018 00:00:00,1226,20452
12/01/2017 00:00:00,43041,56082
11/01/2017 00:00:00,12000,24724
10/01/2017 00:00:00,40073,98346
09/01/2017 00:00:00,1399,2798
08/01/2017 00:00:00,24630,15990
07/01/2017 00:00:00,34460,61566
06/01/2017 00:00:00,11340,23188
